"parameter","scope","model","contrast","ratio","lower","upper","df","p","adjust"
"biofilm","all (11)","2","Ancestor / Evolved",1.16759840477822,0.0263824053493011,51.6740614356747,9.00000000000014,0.92833864099368,"none"
"biofilm","all (11)","3","mutation / none",1.27131467627887,0.110709326001673,14.5989598572537,8.99999999999963,0.828912301627401,"none"
"biofilm","evolved (10)","4","Spore / Total",0.671813588991985,0.031130858981175,14.4979455474459,8.00000000000009,0.772845829312889,"none"
"biofilm","evolved (10)","5a","none / sinR",1.89962032953798,0.129690914331948,27.824288347276,7.00000000000014,0.76890339339256,"tukey"
"biofilm","evolved (10)","5a","none / ywcC",0.118818867878271,0.00635243112066639,2.22244414708316,7.00000000000013,0.150529478659586,"tukey"
"biofilm","evolved (10)","5a","sinR / ywcC",0.0625487451522323,0.00600706380718192,0.651290821223071,7.00000000000013,0.0243095549969767,"tukey"
"biofilm","sinR/ywcC (8)","5","sinR / ywcC",0.0625487451522315,0.0139495949794202,0.280463018882676,6.00000000000001,0.00401719391552367,"none"
