"parameter","scope","model","grouping","n_groups","sigma_strain","singular","AICc","delta_AICc","akaike_weight","F","ndf","ddf","p_kr","p_lrt_chisq","uses_reference_well"
"biofilm","all (11)","1","global mean",1,1.50172261317036,FALSE,205.910693487055,0,0.595605499338797,NA,NA,NA,NA,NA,FALSE
"biofilm","all (11)","2","ancestor vs evolved",2,1.58371881107575,FALSE,208.096457618371,2.1857641313168,0.199676082956417,0.00855348417746189,1,9.00000000000014,0.92833864099368,0.918580634521899,TRUE
"biofilm","all (11)","3","mutation vs none",2,1.58006988280273,FALSE,208.046579629636,2.13588614258185,0.204718417704786,0.0494942817517699,1,8.99999999999964,0.828912301627401,0.805979402948914,TRUE
"biofilm","evolved (10)","1","global mean",1,1.58253901552172,FALSE,194.490336476209,5.67375799535671,0.0543147708512607,NA,NA,NA,NA,NA,FALSE
"biofilm","evolved (10)","4","spore vs total",2,1.67085496440208,FALSE,196.597035865785,7.7804573849329,0.0189432282277294,0.0891688516796824,1,8.00000000000009,0.772845829312889,0.739184759397432,FALSE
"biofilm","evolved (10)","5a","sinR vs ywcC vs none",3,1.06743386785631,FALSE,188.816578480852,0,0.92674200092101,6.17592557555664,2,7.00000000000013,0.0284652064456628,0.00619266552996112,FALSE
"biofilm","sinR/ywcC (8)","1","global mean",1,1.6168554130822,FALSE,157.888983097708,9.58431865020927,0.00822629422599756,NA,NA,NA,NA,NA,FALSE
"biofilm","sinR/ywcC (8)","5","sinR vs ywcC",2,0.810567416593855,FALSE,148.304664447499,0,0.991773705774002,20.4311951219308,1,6.00000000000001,0.00401719391552367,0.000572822254649063,FALSE
