"parameter","scale","clone","2.5%","50%","97.5%","geo_mean"
"biofilm","absolute","m4",0.48783019150585,0.77241966743396,1.22646873251795,0.771536360020312
"biofilm","absolute","m13",0.100303284754787,0.122429884162857,0.150021070251459,0.122564528357193
"biofilm","absolute","m17",0.0073156793860696,0.0180034300346746,0.0439418960834887,0.0180008149840672
"biofilm","absolute","m19",0.0111668104082518,0.0247197562049713,0.0544147745629471,0.0246811049274799
"biofilm","absolute","m21",0.0464235607092175,0.0665045294197035,0.0960310175594535,0.0664824542709844
"biofilm","absolute","m23",0.156023021372512,0.245024304931713,0.382868460666898,0.244811261160933
"biofilm","absolute","m26",0.00812211750622649,0.0140865468919499,0.0243856821219666,0.0140836620663703
"biofilm","absolute","m41",0.0276295008229912,0.0443354223282744,0.0711945910827816,0.0442749859316006
"biofilm","absolute","m54",0.0162429216579806,0.0215685893752687,0.0284106156271522,0.0215779996599215
"biofilm","absolute","m79",1.06349291725542,1.27650172591105,1.5239781363523,1.27627144975783
"biofilm","absolute","ancestor",0.0777799992476203,0.0942792375131855,0.114141273419141,0.094247092036713
"biofilm","relative","m4",5.02313794532684,8.18994906547498,13.5394420290949,NA
"biofilm","relative","m13",0.985959568976927,1.30069015259722,1.71305701693206,NA
"biofilm","relative","m17",0.0762438295204351,0.190961713031249,0.474513731647178,NA
"biofilm","relative","m19",0.11624816279053,0.262026295432354,0.58867363254187,NA
"biofilm","relative","m21",0.469869832661655,0.70542472811578,1.06504318382813,NA
"biofilm","relative","m23",1.5973062064632,2.60314360686131,4.20671689217225,NA
"biofilm","relative","m26",0.0834023354031191,0.149544547315081,0.267179110276976,NA
"biofilm","relative","m41",0.283726744946966,0.470694555051747,0.781948266895973,NA
"biofilm","relative","m54",0.163701652679513,0.228660981366321,0.320177796012373,NA
"biofilm","relative","m79",10.398688604775,13.545719704027,17.5192479003404,NA
