"parameter","scale","clone","2.5%","50%","97.5%","weighted_mean"
"umax","absolute","ancestor",0.103604699636648,0.10886013382687,0.114532620479042,0.108960415724533
"umax","absolute","M26",0.0789641941077385,0.0938555642714358,0.111907210727628,0.0950154982767026
"umax","absolute","M23",0.0735877791419078,0.089607422788101,0.109936010185235,0.0908500700070335
"umax","absolute","M54",0.065153272535767,0.0737740168347457,0.0840677468743368,0.0742461051761729
"umax","absolute","M41",0.0878784028459164,0.0936448352959575,0.0992730753216217,0.093798646921681
"umax","absolute","M21",0.0521134119999115,0.059538207666344,0.0682988534620106,0.0599509071205971
"umax","absolute","M19",0.0438559600240857,0.0502550463673985,0.0570427910858766,0.050573683493049
"umax","absolute","M17",0.0447531449096193,0.0555643811122042,0.0693609395472489,0.0567833954902036
"umax","absolute","M79",0.121900459837393,0.128525280897157,0.135152797371351,0.128676329326013
"umax","absolute","M13",0.0619439668119136,0.0704534453401841,0.0799701119542839,0.0709996183075951
"umax","absolute","M4",0.0731148997268685,0.0784289703269215,0.0840465976953896,0.078612208130468
"umax","relative","M26",0.720617062857371,0.862056436844079,1.03540669350374,NA
"umax","relative","M23",0.671468853727061,0.822993018839464,1.01613966350094,NA
"umax","relative","M54",0.591881993943562,0.677513678498374,0.777588345369454,NA
"umax","relative","M41",0.79098768435886,0.860216287375774,0.926629258580373,NA
"umax","relative","M21",0.475308675296067,0.546918413800925,0.632545272701369,NA
"umax","relative","M19",0.399464096948223,0.461533895460607,0.529100468669288,NA
"umax","relative","M17",0.407934227105359,0.510310246238544,0.640424477115281,NA
"umax","relative","M79",1.09582336488585,1.18015658268501,1.2674492797398,NA
"umax","relative","M13",0.564928029999127,0.647074964126319,0.741536521948829,NA
"umax","relative","M4",0.661399752653876,0.72003197886438,0.784691939358305,NA
"A","absolute","ancestor",0.272362347788806,0.303112472696398,0.337586213604148,0.304299790514968
"A","absolute","M26",0.288162491126102,0.30441064361306,0.322282615947422,0.304793477440026
"A","absolute","M23",0.317657704922792,0.341013808007714,0.364817746388551,0.341598455056369
"A","absolute","M54",0.212892675948155,0.2726692898563,0.344533570738546,0.278569593089556
"A","absolute","M41",0.215044005388844,0.229912752344504,0.246175578333419,0.230211010586479
"A","absolute","M21",0.212401172982219,0.252458351076656,0.299826702195952,0.254900495167368
"A","absolute","M19",0.179494557057423,0.202611027949897,0.228143814294697,0.203939786912628
"A","absolute","M17",0.177560198770949,0.214248171697599,0.260647738744364,0.217567943548847
"A","absolute","M79",0.27108770391423,0.308622958897365,0.351621712879445,0.310560461303731
"A","absolute","M13",0.202761597491196,0.228438169435482,0.258045022714339,0.229523691341057
"A","absolute","M4",0.215506816177049,0.234630190089645,0.256421540224341,0.235284411400665
"A","relative","M26",0.888465129454329,1.00463521661296,1.13293864154647,NA
"A","relative","M23",0.987171288906286,1.12456485242147,1.27459369180319,NA
"A","relative","M54",0.682664908424525,0.900161503738257,1.16799553378792,NA
"A","relative","M41",0.668789604590243,0.758504643328465,0.859809462109898,NA
"A","relative","M21",0.67856388185461,0.832637101250789,1.02516818670831,NA
"A","relative","M19",0.567898920936479,0.668501171517066,0.787540855669072,NA
"A","relative","M17",0.568308446718744,0.706934214540818,0.883701229217421,NA
"A","relative","M79",0.858744585109511,1.01960768879116,1.20939946795441,NA
"A","relative","M13",0.641933621197919,0.75368022642381,0.88403516773191,NA
"A","relative","M4",0.674104028401828,0.773998191708473,0.891782136295044,NA
"L","absolute","ancestor",2.90327863587168,3.10688177861476,3.32268444063718,3.11225800761189
"L","absolute","M26",1.68190892826573,1.87578563907747,2.09523174250786,1.8826609873853
"L","absolute","M23",0.879921649329725,1.66584516165721,3.2908163590137,1.77022660338138
"L","absolute","M54",0.780065587316744,1.85901149300129,4.40229970692201,2.31089471548748
"L","absolute","M41",1.59359619058115,1.7714239222509,1.97723378663624,1.78063370302875
"L","absolute","M21",0.892124700654205,1.66425078232804,3.2205445337069,1.81138259819056
"L","absolute","M19",1.81394462123,2.11873047445321,2.4577705057687,2.13588146076178
"L","absolute","M17",1.66169655900811,2.24359556295467,3.00653612067316,2.31978840677874
"L","absolute","M79",1.78699171428447,1.93674472833746,2.11300532176968,1.94290135047531
"L","absolute","M13",1.56906347161608,2.3941042050811,3.60466120697671,2.52804508430638
"L","absolute","M4",1.75672847283358,2.09433467338949,2.52494397271696,2.11647617742192
"L","relative","M26",0.531782676803883,0.603887121478045,0.68663177651846,NA
"L","relative","M23",0.28152846768411,0.536105358980115,1.06622701772454,NA
"L","relative","M54",0.251025033181557,0.597204753005365,1.42129601203371,NA
"L","relative","M41",0.503060086224021,0.570203289684269,0.650634480421862,NA
"L","relative","M21",0.286146059987828,0.536361685150196,1.03581020568901,NA
"L","relative","M19",0.576227388052569,0.682714930619692,0.802418222226978,NA
"L","relative","M17",0.534177444113815,0.722141827187132,0.97506681274033,NA
"L","relative","M79",0.559392522996392,0.623338808618479,0.696822831525991,NA
"L","relative","M13",0.504078846722662,0.77113140884813,1.16626963092348,NA
"L","relative","M4",0.559717747590059,0.674577041395025,0.819023392082437,NA
