"parameter","scope","model","contrast","ratio","lower","upper","df","p","adjust"
"umax","all (11)","2","Ancestor / Evolved",1.46262607297842,0.725814131476175,2.94741440898287,5.1602575369727,0.223805635864754,"none"
"umax","all (11)","3","mutation / none",0.729301889615194,0.506339941214875,1.05044299867029,6.87168161780831,0.0798743114869986,"none"
"umax","evolved (10)","4","Spore / Total",1.31175830025063,0.853854414169092,2.01522626073309,6.99582261097427,0.178670666914778,"none"
"umax","evolved (10)","5a","none / sinR",1.45644120784964,0.879696430359778,2.41131021874783,6.10474924051687,0.134453292044655,"tukey"
"umax","evolved (10)","5a","none / ywcC",1.09832085990912,0.616835852814103,1.95563974728145,5.23185477276349,0.864817425818957,"tukey"
"umax","evolved (10)","5a","sinR / ywcC",0.754112733139935,0.470295517626455,1.20920993921842,4.89318610962354,0.218895947199489,"tukey"
"umax","sinR/ywcC (8)","5","sinR / ywcC",0.751053449342846,0.488208950342211,1.15540955030503,4.3740171719894,0.142706559560412,"none"
"A","all (11)","2","Ancestor / Evolved",1.19516581812851,0.783434395390239,1.82328136373344,7.4098899038567,0.354733546303515,"none"
"A","all (11)","3","mutation / none",0.748094834794982,0.628449462483923,0.8905185146232,6.8234520075879,0.00575985482367031,"none"
"A","evolved (10)","4","Spore / Total",1.36080948569992,1.09866214344632,1.68550674783613,6.32598677277454,0.012079913192695,"none"
"A","evolved (10)","5a","none / sinR",1.38859833882144,1.02252619581511,1.8857270889188,5.81045372061091,0.0382314236104596,"tukey"
"A","evolved (10)","5a","none / ywcC",1.30567223185892,0.927447736241727,1.83814128864629,5.41658787649591,0.113700123941616,"tukey"
"A","evolved (10)","5a","sinR / ywcC",0.940280709947486,0.715574954493508,1.23554885193703,5.4274009531876,0.76588174505889,"tukey"
"A","sinR/ywcC (8)","5","sinR / ywcC",0.941824639689688,0.744053271565197,1.19216417133768,4.41583577963863,0.530184311699855,"none"
"L","all (11)","2","Ancestor / Evolved",1.60090569044095,1.04958869491551,2.4418127234998,2.93313907935836,0.0383092441869911,"none"
"L","all (11)","3","mutation / none",1.03199661886291,0.810357749343832,1.31425536709786,9.31742217173753,0.775823023512845,"none"
"L","evolved (10)","4","Spore / Total",0.877945051148977,0.676129620588208,1.13999962339532,10.4181257651577,0.294271929403005,"none"
"L","evolved (10)","5a","none / sinR",0.907298159099193,0.636115628955423,1.29408854622321,8.69839648111206,0.730066238308776,"tukey"
"L","evolved (10)","5a","none / ywcC",0.83064836423188,0.558666011630679,1.23504328281425,8.07441431988335,0.416667620730022,"tukey"
"L","evolved (10)","5a","sinR / ywcC",0.915518626265687,0.644339445162362,1.30082732220159,6.25667961696405,0.737649919392154,"tukey"
"L","sinR/ywcC (8)","5","sinR / ywcC",0.915518626265687,0.698723039819654,1.19958024463563,5.96874885513447,0.454242445888985,"none"
