"parameter","scope","model","grouping","n_groups","sigma_strain","singular","AICc","delta_AICc","akaike_weight","F","ndf","ddf","p_kr","p_lrt_chisq"
"umax","all (11)","1","global mean",1,0.25751388153259,FALSE,18.7531288774016,1.63848067905224,0.248362071592471,NA,NA,NA,NA,NA
"umax","all (11)","2","ancestor vs evolved",2,0.248098262926812,FALSE,19.3083177836602,2.19366958531081,0.188160099670218,1.90992878468627,1,5.1602575369727,0.223805635864754,0.190538099853492
"umax","all (11)","3","mutation vs none",2,0.213684888561285,FALSE,17.1146481983494,0,0.56347782873731,4.21674896678198,1,6.87168161780831,0.0798743114869985,0.0480818818333388
"umax","evolved (10)","1","global mean",1,0.245437097099188,FALSE,14.775346701284,1.91698596114303,0.213517335487774,NA,NA,NA,NA,NA
"umax","evolved (10)","4","spore vs total",2,0.219616280000316,FALSE,14.6294092257171,1.77104848557611,0.229679937528681,2.23408066630768,1,6.99582261097428,0.178670666914778,0.117927029587926
"umax","evolved (10)","5a","sinR vs ywcC vs none",3,0.186938993236065,FALSE,12.858360740141,0,0.556802726983545,3.41668572190351,2,5.36495513864751,0.110425306449533,0.0368919163204544
"umax","sinR/ywcC (8)","1","global mean",1,0.242894229223978,FALSE,14.0089282096398,0.779666204564606,0.403757478576553,NA,NA,NA,NA,NA
"umax","sinR/ywcC (8)","5","sinR vs ywcC",2,0.212826102429634,FALSE,13.2292620050752,0,0.596242521423447,3.185209630851,1,4.3740171719894,0.142706559560412,0.0752580474727171
"A","all (11)","1","global mean",1,0.160574683733625,FALSE,-31.5792644502337,7.81011222889865,0.0195301628368404,NA,NA,NA,NA,NA
"A","all (11)","2","ancestor vs evolved",2,0.160561761314076,FALSE,-30.3835323184063,9.00584436072609,0.0107412773588005,0.974322795289144,1,7.4098899038567,0.354733546303515,0.30028934017986
"A","all (11)","3","mutation vs none",2,0.0920859800987003,FALSE,-39.3893766791324,0,0.969728559804359,15.6709100909755,1,6.8234520075879,0.00575985482367029,0.00149988793814157
"A","evolved (10)","1","global mean",1,0.159783291508774,FALSE,-27.2344648696299,6.14992619672374,0.0319246023914336,NA,NA,NA,NA,NA
"A","evolved (10)","4","spore vs total",2,0.0968465907087396,FALSE,-33.3843910663536,0,0.691138367238009,12.105641932009,1,6.32598677277454,0.012079913192695,0.00365319033322548
"A","evolved (10)","5a","sinR vs ywcC vs none",3,0.104553244499462,FALSE,-31.5552912811885,1.82909978516517,0.276937030370557,5.5953770540674,2,5.55545815711021,0.0466574889485956,0.0110903152995115
"A","sinR/ywcC (8)","1","global mean",1,0.0976589342615994,FALSE,-20.0417467398602,0,0.722942170973377,NA,NA,NA,NA,NA
"A","sinR/ywcC (8)","5","sinR vs ywcC",2,0.107246758794846,FALSE,-18.12354077848,1.91820596138015,0.277057829026623,0.463135514513182,1,4.41583577963863,0.530184311699855,0.494568426667204
"L","all (11)","1","global mean",1,0,TRUE,81.7090838878651,2.46134286749573,0.210091034371902,NA,NA,NA,NA,NA
"L","all (11)","2","ancestor vs evolved",2,0,TRUE,79.2477410203694,0,0.719252420359475,12.913048734688,1,2.93313907935836,0.0383092441869911,0.0296411644877074
"L","all (11)","3","mutation vs none",2,0,TRUE,83.8885042586226,4.64076323825324,0.0706565452686232,0.0859440517969086,1,9.31742217173753,0.775823023512845,0.76517040047338
"L","evolved (10)","1","global mean",1,0,TRUE,73.0067497633183,0,0.53839872080333,NA,NA,NA,NA,NA
"L","evolved (10)","4","spore vs total",2,0,TRUE,73.9974223557874,0.990672592469068,0.328081845483689,1.21970882396294,1,10.4181257651577,0.294271929403005,0.252751879196387
"L","evolved (10)","5a","sinR vs ywcC vs none",3,0,TRUE,75.7954544918694,2.78870472855111,0.133519433712981,0.8919406812606,2,7.4463978560466,0.449513190630945,0.387935000842511
"L","sinR/ywcC (8)","1","global mean",1,0,TRUE,56.3194682334242,0,0.70290585894996,NA,NA,NA,NA,NA
"L","sinR/ywcC (8)","5","sinR vs ywcC",2,0,TRUE,58.0418160488913,1.72234781546705,0.29709414105004,0.640361289835577,1,5.96874885513447,0.454242445888985,0.41570330108495
