"series","label","time","fitted"
"total","Total (S + V)",0.5,134307774.990028
"total","Total (S + V)",0.509478613825001,133830633.574834
"total","Total (S + V)",0.51913691589009,133337246.924602
"total","Total (S + V)",0.528978312586138,132827162.478191
"total","Total (S + V)",0.539006274879748,132299922.848539
"total","Total (S + V)",0.549224339537423,131755066.44775
"total","Total (S + V)",0.559636110372956,131192128.177887
"total","Total (S + V)",0.570245259518458,130610640.190971
"total","Total (S + V)",0.581055528719484,130010132.721637
"total","Total (S + V)",0.592070730654712,129390134.995892
"total","Total (S + V)",0.603294750280637,128750176.219339
"total","Total (S + V)",0.614731546201758,128089786.648163
"total","Total (S + V)",0.626385152066743,127408498.746006
"total","Total (S + V)",0.638259677991054,126705848.429718
"total","Total (S + V)",0.650359312006548,125981376.406733
"total","Total (S + V)",0.662688321538555,125234629.606549
"total","Total (S + V)",0.675251054910959,124465162.708477
"total","Total (S + V)",0.68805194287981,123672539.767433
"total","Total (S + V)",0.70109550019601,122856335.939094
"total","Total (S + V)",0.714386327197618,122016139.305239
"total","Total (S + V)",0.727929111432352,121151552.799501
"total","Total (S + V)",0.741728629310839,120262196.233069
"total","Total (S + V)",0.755789747791209,119347708.41919
"total","Total (S + V)",0.770117426095625,118407749.394434
"total","Total (S + V)",0.784716717459354,117442002.733805
"total","Total (S + V)",0.799592770912993,116450177.95578
"total","Total (S + V)",0.814750833098487,115432013.012264
"total","Total (S + V)",0.830196250119565,114387276.857267
"total","Total (S + V)",0.84593446942726,113315772.086858
"total","Total (S + V)",0.861971041741176,112217337.641614
"total","Total (S + V)",0.878311623007174,111091851.561325
"total","Total (S + V)",0.894961976392164,109939233.780275
"total","Total (S + V)",0.911927974316726,108759448.949799
"total","Total (S + V)",0.929215600526254,107552509.273274
"total","Total (S + V)",0.946830952201364,106318477.336996
"total","Total (S + V)",0.964780242108314,105057468.918767
"total","Total (S + V)",0.983069800790186,103769655.754321
"total","Total (S + V)",1.00170607879961,102455268.240074
"total","Total (S + V)",1.0206956489738,101114598.049074
"total","Total (S + V)",1.04004520875277,99748000.6354729
