"series","label","time","fitted"
"total","Total (S + V)",1.05976158254139,98355897.6014052
"total","Total (S + V)",1.07985172411635,96938778.8988682
"total","Total (S + V)",1.10032271907867,95497204.8380245
"total","Total (S + V)",1.12118178735272,94031807.8724363
"total","Total (S + V)",1.1424362857326,92543294.1310364
"total","Total (S + V)",1.16409371047686,91032444.6662321
"total","Total (S + V)",1.1861616999523,89500116.3874471
"total","Total (S + V)",1.20864803732801,87947242.6496853
"total","Total (S + V)",1.23156065332037,86374833.4673639
"total","Total (S + V)",1.25490762899015,84783975.3247791
"total","Total (S + V)",1.27869719859264,83175830.5561354
"total","Total (S + V)",1.30293775248178,81551636.270139
"total","Total (S + V)",1.32763784006936,79912702.7967405
"total","Total (S + V)",1.35280617284031,78260411.6367185
"total","Total (S + V)",1.37845162742517,76596212.8984429
"total","Total (S + V)",1.40458324873079,74921622.210329
"total","Total (S + V)",1.43121025313036,73238217.1021772
"total","Total (S + V)",1.45834203171397,71547632.8537652
"total","Total (S + V)",1.48598815360074,69851557.8146747
"total","Total (S + V)",1.51415836931375,68151728.2053358
"total","Total (S + V)",1.54286261421899,66449922.4156073
"total","Total (S + V)",1.57211101202942,64747954.8237747
"total","Total (S + V)",1.60191387837554,63047669.1655687
"total","Total (S + V)",1.6322817244436,61350931.4895687
"total","Total (S + V)",1.66322526068281,59659622.7420416
"total","Total (S + V)",1.69475540058281,57975631.0307541
"total","Total (S + V)",1.72688326452273,56300843.6234603
"total","Total (S + V)",1.75962018369327,54637138.7424536
"total","Total (S + V)",1.79297770409308,52986377.2216791
"total","Total (S + V)",1.82696759060095,51350394.0972621
"total","Total (S + V)",1.86160183112515,49730990.2058259
"total","Total (S + V)",1.89689264083145,48129923.8675211
"total","Total (S + V)",1.93285246645131,46548902.7321641
"total","Total (S + V)",1.9694939906717,44989575.8672288
"total","Total (S + V)",2.00683013660817,43453526.1655606
"total","Total (S + V)",2.04487407236274,41942263.1485825
"total","Total (S + V)",2.08363921566811,40457216.2374193
"total","Total (S + V)",2.12313923862,38999728.5597941
"total","Total (S + V)",2.16338807249917,37571051.3548215
"total","Total (S + V)",2.20439991268484,36172339.0309954
"total","Total (S + V)",2.24618922366125,34804644.9248694
"total","Total (S + V)",2.28877074411918,33468917.7992849
"total","Total (S + V)",2.33215949215411,32165999.1106695
"total","Total (S + V)",2.37637077056299,30896621.0650969
"total","Total (S + V)",2.42142017224137,29661405.4726417
"total","Total (S + V)",2.46732358568286,28460863.3993046
"total","Total (S + V)",2.51409720058287,27295395.6056008
"total","Total (S + V)",2.56175751354855,26165293.7510292
"total","Total (S + V)",2.61032133391699,25070742.3342437
"total","Total (S + V)",2.65980578968372,24011821.3300246
"total","Total (S + V)",2.71022833354354,22988509.4762568
"total","Total (S + V)",2.76160674904602,22000688.1572015
"total","Total (S + V)",2.81395915686747,21048145.8235074
"total","Total (S + V)",2.86730402120201,20130582.8847454
"total","Total (S + V)",2.9216601562737,19247617.0067945
"total","Total (S + V)",2.97704673297213,18398788.744206
"total","Total (S + V)",3.03348328561378,17583567.4366925
"total","Total (S + V)",3.09098971883163,16801357.2991122
"total","Total (S + V)",3.14958631459534,16051503.6356595
"total","Total (S + V)",3.20929373936446,15333299.1113614
"total","Total (S + V)",3.27013305137732,14645990.0172931
"total","Total (S + V)",3.33212570807808,13988782.4700448
"total","Total (S + V)",3.39529357368454,13360848.4907638
"total","Total (S + V)",3.45965892689947,12761331.9144177
"total","Total (S + V)",3.52524446876806,12189354.0856255
"total","Total (S + V)",3.59207333068441,11644019.3033605
"total","Total (S + V)",3.6601690825497,11124419.9828816
"total","Total (S + V)",3.72955574108509,10629641.5093014
"total","Total (S + V)",3.80025777830222,10158766.7631046
"total","Total (S + V)",3.87230013013418,9710880.30361956
"total","Total (S + V)",3.94570820523027,9285072.20180798
"total","Total (S + V)",4.02050789391731,8880441.5187198
"total","Total (S + V)",4.09672557733093,8496099.43050317
"total","Total (S + V)",4.17438813671998,8131172.00492446
"total","Total (S + V)",4.25352296292725,7784802.63791966
"total","Total (S + V)",4.33415796604998,7456154.16175676
"total","Total (S + V)",4.41632158528346,7144410.63894112
"total","Total (S + V)",4.5000427989513,6848778.85805623
"total","Total (S + V)",4.58535113472577,6568489.54932424
"total","Total (S + V)",4.67227668004196,6302798.33882157
"total","Total (S + V)",4.76085009270932,6050986.46103332
"total","Total (S + V)",4.85110261172434,5812361.24981054
"total","Total (S + V)",4.94306606828832,5586256.42785295
"total","Total (S + V)",5.03677289703386,5372032.21461335
"total","Total (S + V)",5.1322561474643,5169075.27205507
"total","Total (S + V)",5.2295494956099,4976798.50702781
"total","Total (S + V)",5.32868725590514,4794640.74820126
"total","Total (S + V)",5.429704393291,4622066.31454413
"total","Total (S + V)",5.53263653554683,4458564.49129355
"total","Total (S + V)",5.63751998585592,4303648.92825474
"total","Total (S + V)",5.74439173560923,4156856.97413045
"total","Total (S + V)",5.85328947745197,4017748.95942716
"total","Total (S + V)",5.96425161857738,3885907.4393392
"total","Total (S + V)",6.07731729427265,3760936.40688964
"total","Total (S + V)",6.19252638172148,3642460.48552103
"total","Total (S + V)",6.30991951406842,3530124.1092908
"total","Total (S + V)",6.4295380947498,3423590.69784192
"total","Total (S + V)",6.55142431209634,3322541.83239676
"total","Total (S + V)",6.67562115421251,3226676.43816254
"total","Total (S + V)",6.80217242413809,3135709.97774438
"total","Total (S + V)",6.93112275529704,3049373.65943507
"total","Total (S + V)",7.06251762723933,2967413.66359039
"total","Total (S + V)",7.19640338168105,2889590.3897023
"total","Total (S + V)",7.33282723884883,2815677.72624778
"total","Total (S + V)",7.47183731413383,2745462.34491496
"total","Total (S + V)",7.61348263506165,2678743.02038804
"total","Total (S + V)",7.75781315858385,2615329.97650317
"total","Total (S + V)",7.90487978869731,2555044.2592668
"total","Total (S + V)",8.05473439439755,2497717.13695105
"total","Total (S + V)",8.20742982797245,2443189.52724343
"total","Total (S + V)",8.36301994364274,2391311.4512284
"total","Total (S + V)",8.52155961655589,2341941.51380996
"total","Total (S + V)",8.68310476214,2294946.41004665
"total","Total (S + V)",8.84771235582472,2250200.45675765
"total","Total (S + V)",9.01544045313582,2207585.14866978
"total","Total (S + V)",9.18634821017096,2166988.73830572
"total","Total (S + V)",9.36049590446336,2128305.83876304
"total","Total (S + V)",9.53794495624119,2091437.04849676
"total","Total (S + V)",9.71875795008985,2056288.59719586
"total","Total (S + V)",9.90299865702498,2022772.01183187
"total","Total (S + V)",10.0907320569839,1990803.80195587
"total","Total (S + V)",10.2820243617433,1960305.16332534
"total","Total (S + V)",10.4769430382717,1931201.69895506
"total","Total (S + V)",10.6755568325244,1903423.15670338
"total","Total (S + V)",10.8779357936891,1876903.18252753
"total","Total (S + V)",11.0841512988921,1851579.08856643
"total","Total (S + V)",11.2942760783723,1827391.63523785
"total","Total (S + V)",11.508384241132,1804284.82656629
"total","Total (S + V)",11.7265513010748,1782205.71798903
"total","Total (S + V)",11.9488542036387,1761104.2359201
"total","Total (S + V)",12.1753713529338,1740933.00838374
"total","Total (S + V)",12.4061826393947,1721647.20606198
"total","Total (S + V)",12.6413694679572,1703204.39313255
"total","Total (S + V)",12.8810147867691,1685564.3873054
"total","Total (S + V)",13.1252031164449,1668689.12849704
"total","Total (S + V)",13.3740205798759,1652542.55561215
"total","Total (S + V)",13.6275549326044,1637090.49093106
"total","Total (S + V)",13.8858955937747,1622300.53163021
"total","Total (S + V)",14.14913367767,1608141.94798962
"total","Total (S + V)",14.4173620258479,1594585.58786761
"total","Total (S + V)",14.6906752398844,1581603.78704783
"total","Total (S + V)",14.9691697147392,1569170.28508729
"total","Total (S + V)",15.252943672753,1557260.14631694
"total","Total (S + V)",15.5420971982901,1545849.68566742
"total","Total (S + V)",15.8367322730365,1534916.39901307
"total","Total (S + V)",16.1369528119686,1524438.89774656
"total","Total (S + V)",16.4428647000024,1514396.84731444
"total","Total (S + V)",16.7545758293386,1504770.90946113
"total","Total (S + V)",17.0721961375146,1495542.687945
"total","Total (S + V)",17.3958376461789,1486694.67750521
"total","Total (S + V)",17.7256145006,1478210.21587245
"total","Total (S + V)",18.0616430099241,1470073.43862987
"total","Total (S + V)",18.4040416881963,1462269.23674314
"total","Total (S + V)",18.7529312961596,1454783.21659052
"total","Total (S + V)",19.1084348838457,1447601.66233455
"total","Total (S + V)",19.470677833974,1440711.50048749
"total","Total (S + V)",19.8397879061725,1434100.26653241
"total","Total (S + V)",20.2158952820376,1427756.07347063
"total","Total (S + V)",20.5991326110478,1421667.58217475
"total","Total (S + V)",20.989635057348,1415823.97343477
"total","Total (S + V)",21.3875403474207,1410214.9215915
"total","Total (S + V)",21.7929888186603,1404830.56965906
"total","Total (S + V)",22.2061234688696,1399661.50584434
"total","Total (S + V)",22.6270900066931,1394698.7413773
"total","Total (S + V)",23.056036903007,1389933.68957189
"total","Total (S + V)",23.4931154432842,1385358.14604227
"total","Total (S + V)",23.9384797809503,1380964.27000417
"total","Total (S + V)",24.3922869917528,1376744.56659567
"total","Total (S + V)",24.8546971291596,1372691.87015598
"total","Total (S + V)",25.325873280809,1368799.32840474
"total","Total (S + V)",25.8059816260284,1365060.38746819
"total","Total (S + V)",26.2951914944448,1361468.77770178
"total","Total (S + V)",26.7936754257054,1358018.50026241
"total","Total (S + V)",27.3016092303308,1354703.81438592
"total","Total (S + V)",27.8191720517216,1351519.22532899
"total","Total (S + V)",28.3465464293406,1348459.47293656
"total","Total (S + V)",28.883918363093,1345519.52079873
"total","Total (S + V)",29.4314773789262,1342694.54596325
"total","Total (S + V)",29.9894165956744,1339979.92917184
"total","Total (S + V)",30.5579327931694,1337371.24559064
"total","Total (S + V)",31.137226481643,1334864.25600676
"total","Total (S + V)",31.7275019724452,1332454.89846497
"total","Total (S + V)",32.3289674501027,1330139.28031972
"total","Total (S + V)",32.9418350457439,1327913.67067971
"total","Total (S + V)",33.5663209119149,1325774.49322317
"total","Total (S + V)",34.2026452988151,1323718.3193637
"total","Total (S + V)",34.851032631977,1321741.86174745
"total","Total (S + V)",35.511711591419,1319841.96806388
"total","Total (S + V)",36.1849151922988,1318015.61515305
"total","Total (S + V)",36.8708808670953,1316259.9033938
"total","Total (S + V)",37.5698505493489,1314572.05135772
"total","Total (S + V)",38.2820707589895,1312949.39071509
"total","Total (S + V)",39.0077926892812,1311389.36137938
"total","Total (S + V)",39.747272295416,1309889.50687806
"total","Total (S + V)",40.5007703847868,1308447.46993791
"total","Total (S + V)",41.2685527089717,1307060.98827385
"total","Total (S + V)",42.0508900574618,1305727.89057081
"total","Total (S + V)",42.8480583531663,1304446.092649
"total","Total (S + V)",43.6603387497279,1303213.59380309
"total","Total (S + V)",44.4880177306827,1302028.47330687
"total","Total (S + V)",45.3313872105006,1300888.88707483
"total","Total (S + V)",46.1907446375405,1299793.06447318
"total","Total (S + V)",47.0663930989575,1298739.30527271
"total","Total (S + V)",47.9586414275989,1297725.97673676
"total","Total (S + V)",48.8678043109267,1296751.5108375
"total","Total (S + V)",49.7942024020047,1295814.40159459
"total","Total (S + V)",50.7381624325898,1294913.2025301
"total","Total (S + V)",51.7000173283672,1294046.52423421
"total","Total (S + V)",52.6801063263702,1293213.03203654
"total","Total (S + V)",53.6787750946255,1292411.44377794
"total","Total (S + V)",54.6963758540676,1291640.52767814
"total","Total (S + V)",55.7332675027633,1290899.10029472
"total","Total (S + V)",56.7898157424917,1290186.02456925
"total","Total (S + V)",57.8663932077238,1289500.20795645
"total","Total (S + V)",58.9633795970471,1288840.6006326
"total","Total (S + V)",60.0811618070819,1288206.19377966
"total","Total (S + V)",61.2201340689354,1287596.01794151
"total","Total (S + V)",62.3806980872439,1287009.14144917
"total","Total (S + V)",63.5632631818498,1286444.66891181
"total","Total (S + V)",64.7682464321651,1285901.73977064
"total","Total (S + V)",65.9960728242712,1285379.52691292
"total","Total (S + V)",67.247175400807,1284877.23534328
"total","Total (S + V)",68.5219954136998,1284394.10091
"total","Total (S + V)",69.8209824797897,1283929.38908364
"total","Total (S + V)",71.1445947394059,1283482.39378595
"total","Total (S + V)",72.493299017948,1283052.43626665
"total","Total (S + V)",73.867570990531,1282638.86402608
"total","Total (S + V)",75.2678953497511,1282241.04978188
"total","Total (S + V)",76.694765976633,1281858.39047751
"total","Total (S + V)",78.1486861148157,1281490.3063311
"total","Total (S + V)",79.6301685480428,1281136.23992269
"total","Total (S + V)",81.1397357810161,1280795.65531846
"total","Total (S + V)",82.6779202236779,1280468.03723005
"total","Total (S + V)",84.2452643789869,1280152.89020782
"total","Total (S + V)",85.842321034254,1279849.73786644
"total","Total (S + V)",87.4696534561049,1279558.12214148
"total","Total (S + V)",89.1278355891392,1279277.60257568
"total","Total (S + V)",90.8174522583545,1279007.75563374
"total","Total (S + V)",92.5390993754094,1278748.1740444
"total","Total (S + V)",94.2933841487951,1278498.46616861
"total","Total (S + V)",96.080925297993,1278258.25539288
"total","Total (S + V)",97.90235327169,1278027.17954654
"total","Total (S + V)",99.7583104701324,1277804.89034217
"total","Total (S + V)",101.649451471694,1277591.05283805
"total","Total (S + V)",103.576443263741,1277385.3449219
"total","Total (S + V)",105.539965477869,1277187.45681486
"total","Total (S + V)",107.540710629607,1276997.09059504
"total","Total (S + V)",109.579384362655,1276813.95973979
"total","Total (S + V)",111.656705697765,1276637.78868591
"total","Total (S + V)",113.773407286327,1276468.31240707
"total","Total (S + V)",115.93023566877,1276305.27600784
"total","Total (S + V)",118.127951537862,1276148.43433352
"total","Total (S + V)",120.367330006993,1275997.55159529
"total","Total (S + V)",122.649160883559,1275852.40100986
"total","Total (S + V)",124.97424894751,1275712.76445328
"total","Total (S + V)",127.343414235197,1275578.43212819
"total","Total (S + V)",129.757492328582,1275449.202244
"total","Total (S + V)",132.217334649948,1275324.88070948
"total","Total (S + V)",134.723808762184,1275205.28083737
"total","Total (S + V)",137.277798674764,1275090.22306032
"total","Total (S + V)",139.880205155532,1274979.53465797
"total","Total (S + V)",142.531946048395,1274873.04949453
"total","Total (S + V)",145.233956597032,1274770.60776648
"total","Total (S + V)",147.987189774753,1274672.05576015
"total","Total (S + V)",150.792616620597,1274577.24561852
"total","Total (S + V)",153.651226581813,1274486.03511715
"total","Total (S + V)",156.564027862827,1274398.28744868
"total","Total (S + V)",159.532047780824,1274313.87101567
"total","Total (S + V)",162.556333128076,1274232.65923139
"total","Total (S + V)",165.637950541134,1274154.5303284
"total","Total (S + V)",168.777986877022,1274079.36717429
"total","Total (S + V)",171.977549596559,1274007.05709474
"total","Total (S + V)",175.237767154951,1273937.49170323
"total","Total (S + V)",178.559789399785,1273870.56673732
"total","Total (S + V)",181.944787976574,1273806.18190128
"total","Total (S + V)",185.393956741977,1273744.24071472
"total","Total (S + V)",188.908512184869,1273684.65036698
"total","Total (S + V)",192.489693855381,1273627.32157726
"total","Total (S + V)",196.138764802077,1273572.16845991
"total","Total (S + V)",199.85701201742,1273519.10839504
"total","Total (S + V)",203.645746891684,1273468.06190405
"total","Total (S + V)",207.506305675464,1273418.95252986
"total","Total (S + V)",211.440049950965,1273371.70672181
"total","Total (S + V)",215.448367112213,1273326.25372494
"total","Total (S + V)",219.532670854381,1273282.52547346
"total","Total (S + V)",223.69440167238,1273240.45648841
"total","Total (S + V)",227.935027368915,1273199.98377905
"total","Total (S + V)",232.256043572157,1273161.04674821
"total","Total (S + V)",236.658974263243,1273123.58710116
"total","Total (S + V)",241.145372313768,1273087.54875793
"total","Total (S + V)",245.716820033464,1273052.87776907
"total","Total (S + V)",250.374929728273,1273019.52223456
"total","Total (S + V)",255.121344268986,1272987.43222584
"total","Total (S + V)",259.957737670667,1272956.55971079
"total","Total (S + V)",264.88581568307,1272926.85848164
"total","Total (S + V)",269.907316392231,1272898.28408553
"total","Total (S + V)",275.024010833479,1272870.79375779
"total","Total (S + V)",280.237703616066,1272844.34635777
"total","Total (S + V)",285.55023355963,1272818.90230705
"total","Total (S + V)",290.963474342731,1272794.42353006
"total","Total (S + V)",296.479335163682,1272770.87339699
"total","Total (S + V)",302.099761413901,1272748.21666875
"total","Total (S + V)",307.826735364036,1272726.41944419
"total","Total (S + V)",313.662276863089,1272705.44910922
"total","Total (S + V)",319.608444050801,1272685.27428788
"total","Total (S + V)",325.667334083535,1272665.86479532
"total","Total (S + V)",331.841083873926,1272647.19159254
"total","Total (S + V)",338.131870844548,1272629.22674284
"total","Total (S + V)",344.541913695869,1272611.94336995
"total","Total (S + V)",351.073473188769,1272595.31561773
"total","Total (S + V)",357.728852941886,1272579.31861145
"total","Total (S + V)",364.510400244079,1272563.92842049
"total","Total (S + V)",371.4205068823,1272549.12202247
"total","Total (S + V)",378.461609985147,1272534.8772688
"total","Total (S + V)",385.636192882422,1272521.17285143
"total","Total (S + V)",392.946785980974,1272507.98827099
"total","Total (S + V)",400.395967657152,1272495.30380604
"total","Total (S + V)",407.986365166172,1272483.10048356
"total","Total (S + V)",415.720655568724,1272471.3600505
"total","Total (S + V)",423.601566675149,1272460.06494648
"total","Total (S + V)",431.631878007507,1272449.19827745
"total","Total (S + V)",439.814421779894,1272438.74379044
"total","Total (S + V)",448.152083897329,1272428.68584918
"total","Total (S + V)",456.647804973594,1272419.00941071
"total","Total (S + V)",465.304581368353,1272409.70000285
"total","Total (S + V)",474.125466243942,1272400.74370253
"total","Total (S + V)",483.113570642191,1272392.12711498
"total","Total (S + V)",492.272064581661,1272383.8373536
"total","Total (S + V)",501.604178175672,1272375.86202077
"total","Total (S + V)",511.113202771541,1272368.1891892
"total","Total (S + V)",520.802492111403,1272360.80738415
"total","Total (S + V)",530.675463515047,1272353.70556621
"total","Total (S + V)",540.735599085173,1272346.87311479
"total","Total (S + V)",550.986446935491,1272340.29981224
"total","Total (S + V)",561.431622442113,1272333.97582853
"total","Total (S + V)",572.074809518658,1272327.89170658
"total","Total (S + V)",582.919761915535,1272322.03834806
"total","Total (S + V)",593.970304543854,1272316.40699982
"total","Total (S + V)",605.230334824432,1272310.98924075
"total","Total (S + V)",616.703824062386,1272305.77696922
"total","Total (S + V)",628.394818847764,1272300.76239094
"total","Total (S + V)",640.307442482744,1272295.93800728
"total","Total (S + V)",652.445896435879,1272291.29660409
"total","Total (S + V)",664.814461823924,1272286.83124086
"total","Total (S + V)",677.417500921735,1272282.53524039
"total","Total (S + V)",690.259458700804,1272278.40217875
"total","Total (S + V)",703.344864396963,1272274.42587572
"total","Total (S + V)",716.678333107796,1272270.60038547
"total","Total (S + V)",730.264567420345,1272266.91998777
"total","Total (S + V)",744.108359069663,1272263.37917932
"total","Total (S + V)",758.214590628816,1272259.97266562
"total","Total (S + V)",772.58823723092,1272256.69535297
"total","Total (S + V)",787.234368323821,1272253.5423409
"total","Total (S + V)",802.158149458041,1272250.50891482
"total","Total (S + V)",817.364844108622,1272247.59053897
"total","Total (S + V)",832.859815531498,1272244.78284964
"total","Total (S + V)",848.648528655068,1272242.08164864
"total","Total (S + V)",864.736552007622,1272239.48289702
"total","Total (S + V)",881.129559681309,1272236.98270904
"total","Total (S + V)",897.833333333333,1272234.57734634
"spore","Spore (S)",0.5,87147.3945793529
"spore","Spore (S)",0.509478613825001,87206.6181808355
"spore","Spore (S)",0.51913691589009,87268.6716377194
"spore","Spore (S)",0.528978312586138,87333.6905315365
"spore","Spore (S)",0.539006274879748,87401.8169735405
"spore","Spore (S)",0.549224339537423,87473.1999222405
"spore","Spore (S)",0.559636110372956,87547.9955166386
"spore","Spore (S)",0.570245259518458,87626.3674259666
"spore","Spore (S)",0.581055528719484,87708.4872167601
"spore","Spore (S)",0.592070730654712,87794.5347381538
"spore","Spore (S)",0.603294750280637,87884.6985263233
"spore","Spore (S)",0.614731546201758,87979.1762290514
"spore","Spore (S)",0.626385152066743,88078.1750514468
"spore","Spore (S)",0.638259677991054,88181.9122238951
"spore","Spore (S)",0.650359312006548,88290.6154933802
"spore","Spore (S)",0.662688321538555,88404.523639369
"spore","Spore (S)",0.675251054910959,88523.887015524
"spore","Spore (S)",0.68805194287981,88648.9681185587
"spore","Spore (S)",0.70109550019601,88780.0421856313
"spore","Spore (S)",0.714386327197618,88917.3978217379
"spore","Spore (S)",0.727929111432352,89061.3376586379
"spore","Spore (S)",0.741728629310839,89212.1790469279
"spore","Spore (S)",0.755789747791209,89370.2547829553
"spore","Spore (S)",0.770117426095625,89535.9138723504
"spore","Spore (S)",0.784716717459354,89709.5223320396
"spore","Spore (S)",0.799592770912993,89891.4640326947
"spore","Spore (S)",0.814750833098487,90082.1415836641
"spore","Spore (S)",0.830196250119565,90281.9772625296
"spore","Spore (S)",0.84593446942726,90491.413991529
"spore","Spore (S)",0.861971041741176,90710.9163631832
"spore","Spore (S)",0.878311623007174,90940.9717175739
"spore","Spore (S)",0.894961976392164,91182.0912738148
"spore","Spore (S)",0.911927974316726,91434.8113183667
"spore","Spore (S)",0.929215600526254,91699.6944529489
"spore","Spore (S)",0.946830952201364,91977.3309049036
"spore","Spore (S)",0.964780242108314,92268.3399029645
"spore","Spore (S)",0.983069800790186,92573.3711214844
"spore","Spore (S)",1.00170607879961,92893.1061962586
"spore","Spore (S)",1.0206956489738,93228.2603151739
"spore","Spore (S)",1.04004520875277,93579.5838869764
"spore","Spore (S)",1.05976158254139,93947.8642915225
"spore","Spore (S)",1.07985172411635,94333.927714918
"spore","Spore (S)",1.10032271907867,94738.6410729807
"spore","Spore (S)",1.12118178735272,95162.9140264669
"spore","Spore (S)",1.1424362857326,95607.7010914813
"spore","Spore (S)",1.16409371047686,96074.0038484365
"spore","Spore (S)",1.1861616999523,96562.8732528336
"spore","Spore (S)",1.20864803732801,97075.4120510028
"spore","Spore (S)",1.23156065332037,97612.7773037493
"spore","Spore (S)",1.25490762899015,98176.1830206037
"spore","Spore (S)",1.27869719859264,98766.9029070538
"spore","Spore (S)",1.30293775248178,99386.2732267294
"spore","Spore (S)",1.32763784006936,100035.695780027
"spore","Spore (S)",1.35280617284031,100716.641000045
"spore","Spore (S)",1.37845162742517,101430.651166002
"spore","Spore (S)",1.40458324873079,102179.343733423
"spore","Spore (S)",1.43121025313036,102964.414779402
"spore","Spore (S)",1.45834203171397,103787.642560039
"spore","Spore (S)",1.48598815360074,104650.891175791
"spore","Spore (S)",1.51415836931375,105556.114338884
"spore","Spore (S)",1.54286261421899,106505.359235109
"spore","Spore (S)",1.57211101202942,107500.77047024
"spore","Spore (S)",1.60191387837554,108544.594088949
"spore","Spore (S)",1.6322817244436,109639.181651409
"spore","Spore (S)",1.66322526068281,110786.994349762
"spore","Spore (S)",1.69475540058281,111990.607143265
"spore","Spore (S)",1.72688326452273,113252.712887154
"spore","Spore (S)",1.75962018369327,114576.126426119
"spore","Spore (S)",1.79297770409308,115963.788618676
"spore","Spore (S)",1.82696759060095,117418.770253715
"spore","Spore (S)",1.86160183112515,118944.275814986
"spore","Spore (S)",1.89689264083145,120543.647043395
"spore","Spore (S)",1.93285246645131,122220.366240571
"spore","Spore (S)",1.9694939906717,123978.059250353
"spore","Spore (S)",2.00683013660817,125820.498047658
"spore","Spore (S)",2.04487407236274,127751.602856595
"spore","Spore (S)",2.08363921566811,129775.443711862
"spore","Spore (S)",2.12313923862,131896.241369372
"spore","Spore (S)",2.16338807249917,134118.36746392
"spore","Spore (S)",2.20439991268484,136446.343803561
"spore","Spore (S)",2.24618922366125,138884.840682464
"spore","Spore (S)",2.28877074411918,141438.67408649
"spore","Spore (S)",2.33215949215411,144112.801658816
"spore","Spore (S)",2.37637077056299,146912.317286979
"spore","Spore (S)",2.42142017224137,149842.444167837
"spore","Spore (S)",2.46732358568286,152908.526203688
"spore","Spore (S)",2.51409720058287,156116.017581342
"spore","Spore (S)",2.56175751354855,159470.470386794
"spore","Spore (S)",2.61032133391699,162977.520111648
"spore","Spore (S)",2.65980578968372,166642.868914064
"spore","Spore (S)",2.71022833354354,170472.266507074
"spore","Spore (S)",2.76160674904602,174471.488561191
"spore","Spore (S)",2.81395915686747,178646.312526471
"spore","Spore (S)",2.86730402120201,183002.490802187
"spore","Spore (S)",2.9216601562737,187545.721209999
"spore","Spore (S)",2.97704673297213,192281.61475939
"spore","Spore (S)",3.03348328561378,197215.660732016
"spore","Spore (S)",3.09098971883163,202353.18915456
"spore","Spore (S)",3.14958631459534,207699.330777357
"spore","Spore (S)",3.20929373936446,213258.974728011
"spore","Spore (S)",3.27013305137732,219036.724064974
"spore","Spore (S)",3.33212570807808,225036.849514521
"spore","Spore (S)",3.39529357368454,231263.241734972
"spore","Spore (S)",3.45965892689947,237719.362512844
"spore","Spore (S)",3.52524446876806,244408.195355638
"spore","Spore (S)",3.59207333068441,251332.196003375
"spore","Spore (S)",3.6601690825497,258493.243434149
"spore","Spore (S)",3.72955574108509,265892.591985991
"spore","Spore (S)",3.80025777830222,273530.825256256
"spore","Spore (S)",3.87230013013418,281407.812468911
"spore","Spore (S)",3.94570820523027,289522.66801756
"spore","Spore (S)",4.02050789391731,297873.714896428
"spore","Spore (S)",4.09672557733093,306458.452721451
"spore","Spore (S)",4.17438813671998,315273.531018153
"spore","Spore (S)",4.25352296292725,324314.728411687
"spore","Spore (S)",4.33415796604998,333576.938297034
"spore","Spore (S)",4.41632158528346,343054.161494496
"spore","Spore (S)",4.5000427989513,352739.50630811
"spore","Spore (S)",4.58535113472577,362625.196303941
"spore","Spore (S)",4.67227668004196,372702.586013356
"spore","Spore (S)",4.76085009270932,382962.184645752
"spore","Spore (S)",4.85110261172434,393393.687768515
"spore","Spore (S)",4.94306606828832,403986.016782354
"spore","Spore (S)",5.03677289703386,414727.365890821
"spore","Spore (S)",5.1322561474643,425605.256137033
"spore","Spore (S)",5.2295494956099,436606.595961713
"spore","Spore (S)",5.32868725590514,447717.747627636
