"rep","total_day0","total_day10","crash_fold","crash_percent","equilibrium_total","spore_eff_day1","spore_eff_day10","midpoint_spore_d","midpoint_veg_d","final_spore_pct","final_veg_pct"
"A",2.2e+08,940000,234.042553191489,99.5727272727273,1425927.60180995,0.110572683118468,80.4935697143948,5.28244604966199,5.48796811456876,80.2139446334033,19.7860553665967
"B",2.8e+08,950000,294.736842105263,99.6607142857143,1549389.14027149,0.154947793694176,78.3379717514085,5.2640285158913,5.18226165895282,75.0078061038843,24.9921938961157
"C",3e+08,730000,410.958904109589,99.7566666666667,1119162.8959276,0.105907016761396,84.6290560658445,3.37834439163872,5.90387168183802,75.0400375675999,24.9599624324001
"D",4.4e+08,9e+05,488.888888888889,99.7954545454545,1210610.85972851,0.0558080499418386,82.5677153066727,3.17788704075905,6.14504096211634,74.4336394964538,25.5663605035462
