"series","label","fit","parameter","estimate","se"
"total","Total (S + V)","pooled","a",6.1045463657185,0.00303335844738412
"total","Total (S + V)","pooled","b",8.16811477420916,0.0534277707144919
"total","Total (S + V)","pooled","m",0.5265852420956,0.0210514007227736
"total","Total (S + V)","pooled","w",0.210943850933898,0.0102042079777536
"total","Total (S + V)","pooled","z",0.124912653609826,0.00205694877805731
"total","Total (S + V)","A","a",6.1411223868527,0.00431386155190431
"total","Total (S + V)","A","b",8.22970868839959,0.0747639030917227
"total","Total (S + V)","A","m",0.508746676538771,0.0307423517760494
"total","Total (S + V)","A","w",0.245311767131963,0.017208462896615
"total","Total (S + V)","A","z",0.0861310895159372,0.00283712723995853
"total","Total (S + V)","B","a",6.17522152075207,0.00523926705191864
"total","Total (S + V)","B","b",8.34701571046396,0.0949253497064923
"total","Total (S + V)","B","m",0.403793031337489,0.0383719395561902
"total","Total (S + V)","B","w",0.258766248854691,0.0182932672949088
"total","Total (S + V)","B","z",0.106205755111034,0.00349800968572236
"total","Total (S + V)","C","a",6.0299929225943,0.00631721105657122
"total","Total (S + V)","C","b",8.03621908153816,0.0982823808375211
"total","Total (S + V)","C","m",0.573895465415238,0.0369196677208831
"total","Total (S + V)","C","w",0.183717193088902,0.0175879173196211
"total","Total (S + V)","C","z",0.131123255798528,0.00431861132840367
"total","Total (S + V)","D","a",6.0696347925651,0.00539961681994543
"total","Total (S + V)","D","b",8.10059248507724,0.0946177647734578
"total","Total (S + V)","D","m",0.592493786469308,0.0357368875438123
"total","Total (S + V)","D","w",0.175763668060515,0.0179106320207109
"total","Total (S + V)","D","z",0.112098534936806,0.00369210826993361
"spore","Spore (S)","pooled","a",5.99522552508007,0.00246475830478565
"spore","Spore (S)","pooled","b",4.9340248671427,0.0287954673451146
"spore","Spore (S)","pooled","m",0.598068198667428,0.0174373478312183
"spore","Spore (S)","pooled","w",0.175195661528977,0.0107881064718646
"spore","Spore (S)","pooled","z",0.101634143603461,0.00167374253946239
"spore","Spore (S)","A","a",6.02855259455855,0.00335699824461456
"spore","Spore (S)","A","b",5.11581594363537,0.0349117606197357
"spore","Spore (S)","A","m",0.72283507023855,0.0239160178423093
"spore","Spore (S)","A","w",0.149489414926096,0.0124660283001853
"spore","Spore (S)","A","z",0.0696240739297024,0.00229351682545087
"spore","Spore (S)","B","a",6.06101509044796,0.00443529392134381
"spore","Spore (S)","B","b",5.14285498694572,0.045068266988993
"spore","Spore (S)","B","m",0.72131823323901,0.0304178987632705
"spore","Spore (S)","B","w",0.159692217259539,0.0179652365338698
"spore","Spore (S)","B","z",0.0914523068221966,0.00301212149898926
"spore","Spore (S)","C","a",5.91724405153154,0.00481738884556143
"spore","Spore (S)","C","b",4.76940226592357,0.0588161232903061
"spore","Spore (S)","C","m",0.528703919884052,0.0309196050346394
"spore","Spore (S)","C","w",0.157432946743715,0.0231639924105706
"spore","Spore (S)","C","z",0.0996664829269727,0.00328268788068247
"spore","Spore (S)","D","a",5.9731305939241,0.00365460414688086
"spore","Spore (S)","D","b",4.75132974058458,0.0456478853335688
"spore","Spore (S)","D","m",0.502138455978063,0.0230600843370595
"spore","Spore (S)","D","w",0.165057501588266,0.0163035902943112
"spore","Spore (S)","D","z",0.0756512470545785,0.00249198734999482
"veg","Vegetative (V)","pooled","a",5.45784940937427,0.00517544773064621
"veg","Vegetative (V)","pooled","b",7.76162350499843,0.0586052526695729
"veg","Vegetative (V)","pooled","m",0.771154282759277,0.0154316834225189
"veg","Vegetative (V)","pooled","w",0.124168889421842,0.0101400709561688
"veg","Vegetative (V)","pooled","z",0.214995157777251,0.00354033714998052
"veg","Vegetative (V)","A","a",5.49591441589553,0.00967609191410647
"veg","Vegetative (V)","A","b",7.92453122650483,0.137985810489173
"veg","Vegetative (V)","A","m",0.739411579428457,0.0394425662765872
"veg","Vegetative (V)","A","w",0.170758960371459,0.0306751987024159
"veg","Vegetative (V)","A","z",0.194196021537537,0.00639572015018681
"veg","Vegetative (V)","B","a",5.5458341623554,0.0087138131346306
"veg","Vegetative (V)","B","b",7.87825396290324,0.134157046496013
"veg","Vegetative (V)","B","m",0.714519337281698,0.0412553563740782
"veg","Vegetative (V)","B","w",0.165424538935967,0.0263251277203191
"veg","Vegetative (V)","B","z",0.178554423683461,0.00588045577199943
"veg","Vegetative (V)","C","a",5.40240093781583,0.0106538627782674
"veg","Vegetative (V)","C","b",7.70920894866266,0.115826168212998
"veg","Vegetative (V)","C","m",0.771136909710093,0.0303374771172853
"veg","Vegetative (V)","C","w",0.117706871077284,0.0175703918714989
"veg","Vegetative (V)","C","z",0.22213746680541,0.00731588893070942
"veg","Vegetative (V)","D","a",5.3825899325928,0.0103796291705066
"veg","Vegetative (V)","D","b",7.76490902145935,0.0998699968454579
"veg","Vegetative (V)","D","m",0.788524782187778,0.0232913532278449
"veg","Vegetative (V)","D","w",0.106523073807824,0.014246798864625
"veg","Vegetative (V)","D","z",0.216612598678337,0.00713394497235018
