"time.h","time","rep","total","spore","veg_naive"
20300,845.833333333333,"B",760000,840000,-80000
20348,847.833333333333,"D",1e+06,1130000,-130000
20540,855.833333333333,"B",920000,1220000,-3e+05
20540,855.833333333333,"C",1050000,1120000,-70000
20828,867.833333333333,"D",770000,1400000,-630000
21020,875.833333333333,"C",780000,940000,-160000
21260,885.833333333333,"C",1080000,1180000,-1e+05
21308,887.833333333333,"A",850000,880000,-30000
21308,887.833333333333,"B",880000,880000,0
21308,887.833333333333,"C",850000,870000,-20000
21308,887.833333333333,"D",1010000,1140000,-130000
21500,895.833333333333,"B",940000,1050000,-110000
