"time.h","time","rep","total","spore","veg_naive"
312,13,"B",1010000,1030000,-20000
312,13,"C",780000,1010000,-230000
324,13.5,"C",820000,980000,-160000
372,15.5,"D",990000,1020000,-30000
384,16,"D",760000,910000,-150000
396,16.5,"B",1360000,1360000,0
396,16.5,"D",970000,970000,0
420,17.5,"C",820000,1010000,-190000
456,19,"D",770000,1050000,-280000
480,20,"D",770000,1050000,-280000
504,21,"D",8e+05,910000,-110000
624,26,"D",850000,1120000,-270000
648,27,"C",820000,940000,-120000
648,27,"D",9e+05,1e+06,-1e+05
888,37,"B",1340000,1600000,-260000
888,37,"C",680000,740000,-60000
888,37,"D",820000,870000,-50000
936,39,"C",570000,730000,-160000
936,39,"D",930000,1100000,-170000
984,41,"C",860000,1010000,-150000
1032,43,"B",1380000,1580000,-2e+05
1032,43,"C",710000,960000,-250000
1176,49,"C",920000,1020000,-1e+05
1320,55,"B",1270000,1580000,-310000
1368,57,"A",1450000,1650000,-2e+05
1368,57,"C",720000,860000,-140000
1656,69,"D",910000,930000,-20000
1704,71,"C",770000,8e+05,-30000
1752,73,"C",9e+05,960000,-60000
1800,75,"D",9e+05,950000,-50000
1848,77,"C",8e+05,8e+05,0
1848,77,"D",1140000,1160000,-20000
2040,85,"D",860000,860000,0
2088,87,"C",950000,1100000,-150000
2088,87,"D",1160000,1400000,-240000
2136,89,"C",590000,9e+05,-310000
2184,91,"A",1540000,1740000,-2e+05
2184,91,"B",1650000,1650000,0
2232,93,"A",1200000,1230000,-30000
2280,95,"A",1420000,1640000,-220000
2280,95,"B",1230000,1580000,-350000
2328,97,"A",1160000,1310000,-150000
2328,97,"D",1080000,1080000,0
2376,99,"A",1350000,1530000,-180000
2376,99,"C",790000,920000,-130000
2376,99,"D",940000,980000,-40000
2424,101,"D",1050000,1060000,-10000
2520,105,"C",820000,1040000,-220000
2520,105,"D",1e+06,1020000,-20000
2568,107,"D",970000,970000,0
2616,109,"C",770000,770000,0
2664,111,"B",1340000,1340000,0
2712,113,"B",1300000,1340000,-40000
2760,115,"B",1380000,1490000,-110000
2760,115,"C",810000,840000,-30000
2856,119,"D",890000,890000,0
2952,123,"A",1180000,1240000,-60000
3432,143,"D",960000,1010000,-50000
3480,145,"A",1260000,1510000,-250000
3480,145,"D",920000,920000,0
3576,149,"D",860000,880000,-20000
3624,151,"C",890000,910000,-20000
3624,151,"D",720000,840000,-120000
3816,159,"D",960000,1080000,-120000
3912,163,"D",990000,1050000,-60000
3960,165,"C",850000,930000,-80000
4056,169,"D",820000,950000,-130000
4104,171,"D",920000,940000,-20000
4296,179,"B",1440000,1580000,-140000
4296,179,"D",970000,980000,-10000
4484,186.833333333333,"D",960000,970000,-10000
4676,194.833333333333,"C",770000,870000,-1e+05
4820,200.833333333333,"C",870000,1040000,-170000
4964,206.833333333333,"C",750000,1180000,-430000
5012,208.833333333333,"C",760000,760000,0
5060,210.833333333333,"D",8e+05,940000,-140000
5372,223.833333333333,"B",1590000,1600000,-10000
5804,241.833333333333,"C",780000,780000,0
6236,259.833333333333,"C",870000,930000,-60000
6524,271.833333333333,"C",620000,620000,0
6716,279.833333333333,"B",1690000,1720000,-30000
6860,285.833333333333,"C",840000,990000,-150000
6956,289.833333333333,"C",820000,840000,-20000
7148,297.833333333333,"C",810000,1e+06,-190000
7244,301.833333333333,"A",1310000,1410000,-1e+05
7916,329.833333333333,"D",1070000,1070000,0
8012,333.833333333333,"A",1240000,1300000,-60000
8012,333.833333333333,"C",890000,890000,0
8588,357.833333333333,"D",1e+06,1030000,-30000
8684,361.833333333333,"C",710000,810000,-1e+05
8732,363.833333333333,"B",1460000,1470000,-10000
8780,365.833333333333,"D",830000,1e+06,-170000
8828,367.833333333333,"A",1220000,1370000,-150000
8876,369.833333333333,"B",1430000,1710000,-280000
8876,369.833333333333,"C",590000,770000,-180000
8876,369.833333333333,"D",8e+05,820000,-20000
8924,371.833333333333,"B",1600000,1840000,-240000
9212,383.833333333333,"D",850000,9e+05,-50000
9260,385.833333333333,"C",850000,880000,-30000
9500,395.833333333333,"C",840000,980000,-140000
9548,397.833333333333,"D",1130000,1150000,-20000
9644,401.833333333333,"A",1410000,1580000,-170000
9644,401.833333333333,"D",890000,1010000,-120000
9692,403.833333333333,"C",920000,990000,-70000
9788,407.833333333333,"C",630000,970000,-340000
9884,411.833333333333,"A",1260000,1290000,-30000
9932,413.833333333333,"D",980000,980000,0
10076,419.833333333333,"A",1420000,1440000,-20000
10076,419.833333333333,"D",960000,1010000,-50000
10124,421.833333333333,"B",1850000,1920000,-70000
10460,435.833333333333,"D",1600000,1600000,0
10604,441.833333333333,"B",1860000,1950000,-90000
10652,443.833333333333,"D",9e+05,1030000,-130000
10700,445.833333333333,"C",840000,910000,-70000
10700,445.833333333333,"D",1150000,1200000,-50000
10748,447.833333333333,"C",850000,860000,-10000
10796,449.833333333333,"A",1430000,1590000,-160000
10796,449.833333333333,"B",1820000,1990000,-170000
10796,449.833333333333,"C",750000,870000,-120000
10892,453.833333333333,"A",1350000,1350000,0
10892,453.833333333333,"B",1580000,1670000,-90000
10892,453.833333333333,"C",890000,960000,-70000
10940,455.833333333333,"B",1940000,1940000,0
10940,455.833333333333,"D",1160000,1160000,0
11036,459.833333333333,"A",1540000,1550000,-10000
11036,459.833333333333,"D",1220000,1240000,-20000
11420,475.833333333333,"B",1860000,1870000,-10000
11420,475.833333333333,"D",940000,1180000,-240000
11516,479.833333333333,"B",1810000,1990000,-180000
11516,479.833333333333,"D",1e+06,1030000,-30000
11564,481.833333333333,"C",1020000,1220000,-2e+05
11612,483.833333333333,"C",1250000,1300000,-50000
12572,523.833333333333,"A",1190000,1290000,-1e+05
12572,523.833333333333,"B",1410000,1530000,-120000
12572,523.833333333333,"D",1330000,1410000,-80000
12668,527.833333333333,"A",1150000,1250000,-1e+05
12812,533.833333333333,"B",910000,1140000,-230000
12860,535.833333333333,"B",1130000,1150000,-20000
14348,597.833333333333,"C",960000,1200000,-240000
14924,621.833333333333,"A",1280000,1330000,-50000
15500,645.833333333333,"C",1230000,1240000,-10000
15596,649.833333333333,"A",1230000,1390000,-160000
15596,649.833333333333,"D",1240000,1590000,-350000
15644,651.833333333333,"B",1100000,1200000,-1e+05
15644,651.833333333333,"D",1270000,1350000,-80000
16028,667.833333333333,"B",1020000,1180000,-160000
16076,669.833333333333,"C",1060000,1080000,-20000
17900,745.833333333333,"D",1270000,1380000,-110000
18332,763.833333333333,"B",1040000,1040000,0
18956,789.833333333333,"B",1470000,1490000,-20000
19052,793.833333333333,"B",990000,1180000,-190000
19100,795.833333333333,"C",1220000,1370000,-150000
19244,801.833333333333,"C",910000,920000,-10000
19388,807.833333333333,"B",830000,910000,-80000
19388,807.833333333333,"C",810000,830000,-20000
19580,815.833333333333,"D",1090000,1100000,-10000
19820,825.833333333333,"C",790000,960000,-170000
19820,825.833333333333,"D",910000,930000,-20000
20060,835.833333333333,"D",710000,880000,-170000
20204,841.833333333333,"A",850000,990000,-140000
20252,843.833333333333,"B",870000,930000,-60000
20300,845.833333333333,"A",910000,930000,-20000
