"fraction","carriers","frequency","mean","lower","upper","max"
"S10",1,0.0192307692307692,1.43,0,4,5
"S10",2,0.0384615384615385,0.08,0,1,2
"S10",3,0.0576923076923077,0.02,0,0,1
"S10",4,0.0769230769230769,0.01,0,0,1
"S10",5,0.0961538461538462,0.01,0,0,1
"S10",6,0.115384615384615,0,0,0,0
"S10",7,0.134615384615385,0,0,0,0
"S10",8,0.153846153846154,0,0,0,0
"S10",9,0.173076923076923,0,0,0,0
"S10",10,0.192307692307692,0,0,0,0
"S10",11,0.211538461538462,0,0,0,0
"S10",12,0.230769230769231,0,0,0,0
"S10",13,0.25,0,0,0,0
"S10",14,0.269230769230769,0.01,0,0,1
"S10",15,0.288461538461538,0,0,0,0
"S10",16,0.307692307692308,0,0,0,0
"S10",17,0.326923076923077,0,0,0,0
"S10",18,0.346153846153846,0,0,0,0
"S10",19,0.365384615384615,0,0,0,0
"S10",20,0.384615384615385,0,0,0,0
"S10",21,0.403846153846154,0,0,0,0
"S10",22,0.423076923076923,0,0,0,0
"S10",23,0.442307692307692,0,0,0,0
"S10",24,0.461538461538462,0,0,0,0
"S10",25,0.480769230769231,0,0,0,0
"S10",26,0.5,0,0,0,0
"S10",27,0.519230769230769,0,0,0,0
"S10",28,0.538461538461538,0,0,0,0
"S10",29,0.557692307692308,0,0,0,0
"S10",30,0.576923076923077,0,0,0,0
"S10",31,0.596153846153846,0,0,0,0
"S10",32,0.615384615384615,0,0,0,0
"S10",33,0.634615384615385,0,0,0,0
"S10",34,0.653846153846154,0,0,0,0
"S10",35,0.673076923076923,0,0,0,0
"S10",36,0.692307692307692,0,0,0,0
"S10",37,0.711538461538462,0,0,0,0
"S10",38,0.730769230769231,0,0,0,0
"S10",39,0.75,0,0,0,0
"S10",40,0.769230769230769,0,0,0,0
"S10",41,0.788461538461538,0,0,0,0
"S10",42,0.807692307692308,0,0,0,0
"S10",43,0.826923076923077,0,0,0,0
"S10",44,0.846153846153846,0,0,0,0
"S10",45,0.865384615384615,0,0,0,0
"S10",46,0.884615384615385,0,0,0,0
"S10",47,0.903846153846154,0,0,0,0
"S10",48,0.923076923076923,0,0,0,0
"S10",49,0.942307692307692,0,0,0,0
"S10",50,0.961538461538462,0,0,0,0
"S10",51,0.980769230769231,0,0,0,0
"S10",52,1,0,0,0,0
"S1000",1,0.0104166666666667,3.03,0,6.52499999999999,7
"S1000",2,0.0208333333333333,0.14,0,1,2
"S1000",3,0.03125,0.02,0,0,1
"S1000",4,0.0416666666666667,0.02,0,0,1
"S1000",5,0.0520833333333333,0.01,0,0,1
"S1000",6,0.0625,0,0,0,0
"S1000",7,0.0729166666666667,0.02,0,0,1
"S1000",8,0.0833333333333333,0,0,0,0
"S1000",9,0.09375,0.01,0,0,1
"S1000",10,0.104166666666667,0,0,0,0
"S1000",11,0.114583333333333,0.01,0,0,1
"S1000",12,0.125,0,0,0,0
"S1000",13,0.135416666666667,0,0,0,0
"S1000",14,0.145833333333333,0,0,0,0
"S1000",15,0.15625,0,0,0,0
"S1000",16,0.166666666666667,0,0,0,0
"S1000",17,0.177083333333333,0,0,0,0
"S1000",18,0.1875,0,0,0,0
"S1000",19,0.197916666666667,0,0,0,0
"S1000",20,0.208333333333333,0,0,0,0
"S1000",21,0.21875,0,0,0,0
"S1000",22,0.229166666666667,0,0,0,0
"S1000",23,0.239583333333333,0,0,0,0
"S1000",24,0.25,0,0,0,0
"S1000",25,0.260416666666667,0,0,0,0
"S1000",26,0.270833333333333,0,0,0,0
"S1000",27,0.28125,0,0,0,0
"S1000",28,0.291666666666667,0,0,0,0
"S1000",29,0.302083333333333,0,0,0,0
"S1000",30,0.3125,0,0,0,0
"S1000",31,0.322916666666667,0,0,0,0
"S1000",32,0.333333333333333,0,0,0,0
"S1000",33,0.34375,0,0,0,0
"S1000",34,0.354166666666667,0,0,0,0
"S1000",35,0.364583333333333,0,0,0,0
"S1000",36,0.375,0,0,0,0
"S1000",37,0.385416666666667,0,0,0,0
"S1000",38,0.395833333333333,0,0,0,0
"S1000",39,0.40625,0,0,0,0
"S1000",40,0.416666666666667,0,0,0,0
"S1000",41,0.427083333333333,0,0,0,0
"S1000",42,0.4375,0,0,0,0
"S1000",43,0.447916666666667,0,0,0,0
"S1000",44,0.458333333333333,0,0,0,0
"S1000",45,0.46875,0,0,0,0
"S1000",46,0.479166666666667,0,0,0,0
"S1000",47,0.489583333333333,0,0,0,0
"S1000",48,0.5,0,0,0,0
"S1000",49,0.510416666666667,0,0,0,0
"S1000",50,0.520833333333333,0,0,0,0
"S1000",51,0.53125,0,0,0,0
