"fraction","carriers","frequency","mean","lower","upper","max"
"S1000",52,0.541666666666667,0,0,0,0
"S1000",53,0.552083333333333,0,0,0,0
"S1000",54,0.5625,0,0,0,0
"S1000",55,0.572916666666667,0,0,0,0
"S1000",56,0.583333333333333,0,0,0,0
"S1000",57,0.59375,0,0,0,0
"S1000",58,0.604166666666667,0,0,0,0
"S1000",59,0.614583333333333,0,0,0,0
"S1000",60,0.625,0,0,0,0
"S1000",61,0.635416666666667,0,0,0,0
"S1000",62,0.645833333333333,0,0,0,0
"S1000",63,0.65625,0,0,0,0
"S1000",64,0.666666666666667,0,0,0,0
"S1000",65,0.677083333333333,0,0,0,0
"S1000",66,0.6875,0,0,0,0
"S1000",67,0.697916666666667,0,0,0,0
"S1000",68,0.708333333333333,0,0,0,0
"S1000",69,0.71875,0,0,0,0
"S1000",70,0.729166666666667,0,0,0,0
"S1000",71,0.739583333333333,0,0,0,0
"S1000",72,0.75,0,0,0,0
"S1000",73,0.760416666666667,0,0,0,0
"S1000",74,0.770833333333333,0,0,0,0
"S1000",75,0.78125,0,0,0,0
"S1000",76,0.791666666666667,0,0,0,0
"S1000",77,0.802083333333333,0,0,0,0
"S1000",78,0.8125,0,0,0,0
"S1000",79,0.822916666666667,0,0,0,0
"S1000",80,0.833333333333333,0,0,0,0
"S1000",81,0.84375,0,0,0,0
"S1000",82,0.854166666666667,0,0,0,0
"S1000",83,0.864583333333333,0,0,0,0
"S1000",84,0.875,0,0,0,0
"S1000",85,0.885416666666667,0,0,0,0
"S1000",86,0.895833333333333,0,0,0,0
"S1000",87,0.90625,0,0,0,0
"S1000",88,0.916666666666667,0,0,0,0
"S1000",89,0.927083333333333,0,0,0,0
"S1000",90,0.9375,0,0,0,0
"S1000",91,0.947916666666667,0,0,0,0
"S1000",92,0.958333333333333,0,0,0,0
"S1000",93,0.96875,0,0,0,0
"S1000",94,0.979166666666667,0,0,0,0
"S1000",95,0.989583333333333,0,0,0,0
"S1000",96,1,0,0,0,0
"S+NS1000",1,0.0119047619047619,103.75,80,127.575,129
"S+NS1000",2,0.0238095238095238,7.01,1.475,13,18
"S+NS1000",3,0.0357142857142857,0.69,0,3.52499999999999,5
"S+NS1000",4,0.0476190476190476,0.07,0,1,3
"S+NS1000",5,0.0595238095238095,0.01,0,0,1
"S+NS1000",6,0.0714285714285714,0.01,0,0,1
"S+NS1000",7,0.0833333333333333,0,0,0,0
"S+NS1000",8,0.0952380952380952,0,0,0,0
"S+NS1000",9,0.107142857142857,0,0,0,0
"S+NS1000",10,0.119047619047619,0,0,0,0
"S+NS1000",11,0.130952380952381,0.01,0,0,1
"S+NS1000",12,0.142857142857143,0,0,0,0
"S+NS1000",13,0.154761904761905,0,0,0,0
"S+NS1000",14,0.166666666666667,0,0,0,0
"S+NS1000",15,0.178571428571429,0,0,0,0
"S+NS1000",16,0.19047619047619,0,0,0,0
"S+NS1000",17,0.202380952380952,0,0,0,0
"S+NS1000",18,0.214285714285714,0,0,0,0
"S+NS1000",19,0.226190476190476,0,0,0,0
"S+NS1000",20,0.238095238095238,0.01,0,0,1
"S+NS1000",21,0.25,0,0,0,0
"S+NS1000",22,0.261904761904762,0,0,0,0
"S+NS1000",23,0.273809523809524,0,0,0,0
"S+NS1000",24,0.285714285714286,0,0,0,0
"S+NS1000",25,0.297619047619048,0,0,0,0
"S+NS1000",26,0.30952380952381,0,0,0,0
"S+NS1000",27,0.321428571428571,0,0,0,0
"S+NS1000",28,0.333333333333333,0,0,0,0
"S+NS1000",29,0.345238095238095,0,0,0,0
"S+NS1000",30,0.357142857142857,0,0,0,0
"S+NS1000",31,0.369047619047619,0,0,0,0
"S+NS1000",32,0.380952380952381,0,0,0,0
"S+NS1000",33,0.392857142857143,0,0,0,0
"S+NS1000",34,0.404761904761905,0,0,0,0
"S+NS1000",35,0.416666666666667,0,0,0,0
"S+NS1000",36,0.428571428571429,0,0,0,0
"S+NS1000",37,0.44047619047619,0,0,0,0
"S+NS1000",38,0.452380952380952,0,0,0,0
"S+NS1000",39,0.464285714285714,0,0,0,0
"S+NS1000",40,0.476190476190476,0,0,0,0
"S+NS1000",41,0.488095238095238,0,0,0,0
"S+NS1000",42,0.5,0,0,0,0
"S+NS1000",43,0.511904761904762,0,0,0,0
"S+NS1000",44,0.523809523809524,0,0,0,0
"S+NS1000",45,0.535714285714286,0,0,0,0
"S+NS1000",46,0.547619047619048,0,0,0,0
"S+NS1000",47,0.55952380952381,0,0,0,0
"S+NS1000",48,0.571428571428571,0,0,0,0
"S+NS1000",49,0.583333333333333,0,0,0,0
"S+NS1000",50,0.595238095238095,0,0,0,0
"S+NS1000",51,0.607142857142857,0,0,0,0
"S+NS1000",52,0.619047619047619,0,0,0,0
"S+NS1000",53,0.630952380952381,0,0,0,0
"S+NS1000",54,0.642857142857143,0,0,0,0
"S+NS1000",55,0.654761904761905,0,0,0,0
"S+NS1000",56,0.666666666666667,0,0,0,0
"S+NS1000",57,0.678571428571429,0,0,0,0
"S+NS1000",58,0.69047619047619,0,0,0,0
"S+NS1000",59,0.702380952380952,0,0,0,0
"S+NS1000",60,0.714285714285714,0,0,0,0
"S+NS1000",61,0.726190476190476,0,0,0,0
"S+NS1000",62,0.738095238095238,0,0,0,0
"S+NS1000",63,0.75,0,0,0,0
"S+NS1000",64,0.761904761904762,0,0,0,0
"S+NS1000",65,0.773809523809524,0,0,0,0
"S+NS1000",66,0.785714285714286,0,0,0,0
"S+NS1000",67,0.797619047619048,0,0,0,0
"S+NS1000",68,0.80952380952381,0,0,0,0
"S+NS1000",69,0.821428571428571,0,0,0,0
"S+NS1000",70,0.833333333333333,0,0,0,0
"S+NS1000",71,0.845238095238095,0,0,0,0
"S+NS1000",72,0.857142857142857,0,0,0,0
"S+NS1000",73,0.869047619047619,0,0,0,0
"S+NS1000",74,0.880952380952381,0,0,0,0
"S+NS1000",75,0.892857142857143,0,0,0,0
"S+NS1000",76,0.904761904761905,0,0,0,0
"S+NS1000",77,0.916666666666667,0,0,0,0
"S+NS1000",78,0.928571428571429,0,0,0,0
"S+NS1000",79,0.94047619047619,0,0,0,0
"S+NS1000",80,0.952380952380952,0,0,0,0
"S+NS1000",81,0.964285714285714,0,0,0,0
"S+NS1000",82,0.976190476190476,0,0,0,0
"S+NS1000",83,0.988095238095238,0,0,0,0
"S+NS1000",84,1,0,0,0,0
