"fraction","clone","mutations"
"S10","Sample_10",0
"S10","Sample_11",0
"S10","Sample_14",0
"S10","Sample_16",0
"S10","Sample_17",0
"S10","Sample_19",0
"S10","Sample_22",0
"S10","Sample_26",1
"S10","Sample_28",0
"S10","Sample_29",0
"S10","Sample_30",0
"S10","Sample_31",0
"S10","Sample_32",0
"S10","Sample_33",0
"S10","Sample_34",0
"S10","Sample_35",0
"S10","Sample_38",0
"S10","Sample_41",0
"S10","Sample_42",0
"S10","Sample_43",0
"S10","Sample_44",0
"S10","Sample_45",0
"S10","Sample_46",0
"S10","Sample_47",0
"S10","Sample_5",0
"S10","Sample_51",0
"S10","Sample_53",0
"S10","Sample_55",0
"S10","Sample_56",0
"S10","Sample_58",0
"S10","Sample_59",0
"S10","Sample_63",0
"S10","Sample_64",0
"S10","Sample_65",0
"S10","Sample_66",0
"S10","Sample_67",0
"S10","Sample_68",0
"S10","Sample_69",0
"S10","Sample_7",0
"S10","Sample_70",0
"S10","Sample_78",0
"S10","Sample_79",0
"S10","Sample_8",0
"S10","Sample_80",1
"S10","Sample_81",0
"S10","Sample_82",0
"S10","Sample_88",0
"S10","Sample_9",0
"S10","Sample_90",0
"S10","Sample_91",0
"S10","Sample_92",0
"S10","Sample_94",0
"S+NS1000","Sample_control_1",1
"S+NS1000","Sample_control_10",0
"S+NS1000","Sample_control_11",0
"S+NS1000","Sample_control_12",1
"S+NS1000","Sample_control_13",1
"S+NS1000","Sample_control_14",2
"S+NS1000","Sample_control_15",2
"S+NS1000","Sample_control_16",1
"S+NS1000","Sample_control_17",1
"S+NS1000","Sample_control_18",1
"S+NS1000","Sample_control_19",1
"S+NS1000","Sample_control_2",0
"S+NS1000","Sample_control_21",2
"S+NS1000","Sample_control_22",1
"S+NS1000","Sample_control_23",0
"S+NS1000","Sample_control_24",0
"S+NS1000","Sample_control_25",0
"S+NS1000","Sample_control_26",0
"S+NS1000","Sample_control_27",0
"S+NS1000","Sample_control_28",1
"S+NS1000","Sample_control_29",0
"S+NS1000","Sample_control_3",1
"S+NS1000","Sample_control_30",1
"S+NS1000","Sample_control_31",1
"S+NS1000","Sample_control_32",0
"S+NS1000","Sample_control_33",1
"S+NS1000","Sample_control_34",1
"S+NS1000","Sample_control_35",0
"S+NS1000","Sample_control_36",2
"S+NS1000","Sample_control_37",1
"S+NS1000","Sample_control_38",1
"S+NS1000","Sample_control_39",1
"S+NS1000","Sample_control_4",3
"S+NS1000","Sample_control_40",1
"S+NS1000","Sample_control_41",1
"S+NS1000","Sample_control_42",0
"S+NS1000","Sample_control_43",0
"S+NS1000","Sample_control_44",1
"S+NS1000","Sample_control_45",1
"S+NS1000","Sample_control_46",0
"S+NS1000","Sample_control_47",1
"S+NS1000","Sample_control_48",1
"S+NS1000","Sample_control_49",1
"S+NS1000","Sample_control_5",0
"S+NS1000","Sample_control_50",0
"S+NS1000","Sample_control_51",0
"S+NS1000","Sample_control_52",0
"S+NS1000","Sample_control_53",1
"S+NS1000","Sample_control_54",2
"S+NS1000","Sample_control_55",0
"S+NS1000","Sample_control_56",1
"S+NS1000","Sample_control_58",0
"S+NS1000","Sample_control_59",1
"S+NS1000","Sample_control_6",0
"S+NS1000","Sample_control_60",1
"S+NS1000","Sample_control_62",1
"S+NS1000","Sample_control_63",0
"S+NS1000","Sample_control_64",2
"S+NS1000","Sample_control_66",0
"S+NS1000","Sample_control_67",1
"S+NS1000","Sample_control_7",0
"S+NS1000","Sample_control_70",0
"S+NS1000","Sample_control_71",0
"S+NS1000","Sample_control_72",2
"S+NS1000","Sample_control_74",0
"S+NS1000","Sample_control_75",1
"S+NS1000","Sample_control_76",0
"S+NS1000","Sample_control_77",0
"S+NS1000","Sample_control_78",0
"S+NS1000","Sample_control_79",2
"S+NS1000","Sample_control_80",0
"S+NS1000","Sample_control_81",0
"S+NS1000","Sample_control_84",2
"S+NS1000","Sample_control_85",2
"S+NS1000","Sample_control_86",1
"S+NS1000","Sample_control_87",0
"S+NS1000","Sample_control_88",1
"S+NS1000","Sample_control_89",0
"S+NS1000","Sample_control_9",0
"S+NS1000","Sample_control_92",1
"S+NS1000","Sample_control_93",1
"S+NS1000","Sample_control_94",4
"S+NS1000","Sample_control_95",1
"S+NS1000","Sample_control_96",0
