"time.h","time","rep","phase","total","spore_obs","veg_naive","spore_est","spore_lo","spore_hi","veg_est","veg_lo","veg_hi"
72,3,"A","transition",3.1e+07,196000,30804000,220589.331576959,39759.8491979253,413037.124950003,30779214.490761,30575798.3060418,30975994.8626444
72,3,"B","transition",1.3e+07,212000,12788000,226214.104988486,39497.185775589,472433.545571506,12771472.5309201,12463083.1667726,13050376.6509513
72,3,"C","transition",1.2e+07,187000,11813000,184988.695375868,66860.6594579116,312880.768640891,11813661.6036399,11502438.8125685,12124392.6713966
72,3,"D","transition",3.5e+07,208000,34792000,207324.987186603,96104.3401131103,322669.865675086,34793988.8521567,34485592.7231522,35102502.1592075
84,3.5,"A","transition",2e+07,255000,19745000,254080.315327813,51263.0102469909,464048.052854847,19745504.9513904,19526555.6505336,19957788.500126
84,3.5,"B","transition",1.7e+07,232000,16768000,236755.892257646,44571.4314530413,486107.661706667,16761809.4715226,16448418.1548924,17043384.5480793
84,3.5,"C","transition",2e+07,258000,19742000,250835.956587799,123744.70699192,376934.365338121,19748713.2090479,19436067.3102242,20056859.4934774
84,3.5,"D","transition",2.3e+07,377000,22623000,369553.9372409,248460.07620119,486405.33021596,22630368.3575542,22322657.4374117,22936191.6002914
96,4,"A","transition",1.2e+07,329000,11671000,281676.516862236,86670.2824050189,514743.921055126,11718079.9924939,11476139.7939396,11925315.5785292
96,4,"B","transition",1.3e+07,318000,12682000,290042.177343278,67864.0653431271,555204.422437543,12710415.7947404,12382037.8182125,13004490.7537123
96,4,"C","transition",1.7e+07,370000,16630000,357667.197134427,221258.251774241,483271.07600242,16640990.2523242,16328320.9692093,16953640.0159442
96,4,"D","transition",1.7e+07,457000,16543000,447245.005209431,322767.094384,563977.700066774,16552557.253576,16248765.5404075,16859735.8348707
108,4.5,"A","transition",1.4e+07,292000,13708000,264938.642022305,64783.9028552866,499891.54924045,13735494.8893888,13487887.4760062,13949844.3211488
108,4.5,"B","transition",1e+07,348000,9652000,317504.104882411,84082.5886823764,578876.384034949,9681770.63966261,9366624.10814125,9984352.18916571
108,4.5,"C","transition",4e+06,295000,3705000,286637.773298432,155446.918721075,412788.361315922,3709984.59949824,3400024.74798558,4019613.85022891
108,4.5,"D","transition",1e+07,304000,9696000,299448.530116876,181957.632413142,413751.870758534,9697529.39508327,9388830.87428812,10006436.7228577
120,5,"A","transition",8900000,540000,8360000,477199.238385629,236450.496550764,789242.695360936,8422723.85209611,8105758.73573874,8675647.70125921
120,5,"B","transition",8e+06,510000,7490000,445425.057758051,172240.128853396,723097.657181259,7553793.51826079,7223475.16454419,7884602.06917816
120,5,"C","transition",8300000,460000,7840000,447837.53165161,310260.221789084,575362.133097453,7849868.72254178,7533122.31467721,8162226.71901829
120,5,"D","transition",10100000,490000,9610000,480711.891933695,357910.561080719,595363.649215299,9617366.41327079,9313997.04049244,9920847.76355622
132,5.5,"A","transition",8300000,490000,7810000,468213.815326609,203555.78141117,791365.491286122,7831416.41404332,7507551.22483032,8107481.88943741
132,5.5,"B","transition",6200000,540000,5660000,477561.938077649,193586.157547327,758867.839870193,5721129.5445222,5381077.31385256,6061182.24266905
132,5.5,"C","transition",6400000,570000,5830000,557222.372475332,420630.395725892,687416.19448967,5840075.91955494,5523002.88878914,6153548.55564111
132,5.5,"D","transition",8300000,630000,7670000,618696.838663758,494952.063266465,733905.874704506,7679639.35658287,7372076.28528447,7986771.86177389
144,6,"A","transition",6300000,410000,5890000,395424.250063948,125722.252008533,656396.48180539,5904457.89129642,5640232.0160458,6186465.41533753
144,6,"B","transition",7e+06,570000,6430000,505381.117841083,233064.89624392,787015.708100161,6493585.73965447,6149222.31362511,6819487.46376836
144,6,"C","transition",4500000,560000,3940000,547873.494848947,413837.526938311,676863.684964506,3946640.57657146,3634527.74321675,4262390.47844467
144,6,"D","transition",5200000,640000,4560000,629385.709878979,504734.76820959,745640.198404224,4567092.80152283,4261148.13694244,4875050.70129093
156,6.5,"A","transition",5500000,510000,4990000,453188.375894153,198911.422250311,697330.188168117,5046829.66265265,4789531.2398012,5313282.90136144
156,6.5,"B","transition",5100000,6e+05,4500000,527741.592590341,245466.704999899,811681.902982718,4571479.92181199,4223851.55101212,4901543.65701826
156,6.5,"C","transition",6300000,570000,5730000,556034.254761903,420524.814367394,681561.867131072,5742202.19531127,5427811.88907543,6056590.6761185
156,6.5,"D","transition",5600000,780000,4820000,769774.650414505,647233.976190609,884894.261098687,4827695.64451369,4522410.03132968,5131970.36503037
168,7,"A","transition",4300000,440000,3860000,407516.693887591,165154.901827627,640062.091372174,3891964.30662247,3649399.63275462,4142997.21590687
168,7,"B","transition",3900000,540000,3360000,473640.886539342,202083.544260369,746105.690938587,3424188.74404795,3091787.30897481,3751196.54346897
168,7,"C","transition",3e+06,460000,2540000,448360.99152486,311460.044320225,576742.853699139,2546073.52000741,2232465.13592006,2855703.11648595
168,7,"D","transition",2800000,590000,2210000,580098.326459992,459699.904281357,695346.427945982,2214115.49456284,1910011.24809096,2515352.21813196
180,7.5,"A","transition",4e+06,5e+05,3500000,430943.417667891,141165.444915785,675066.026361859,3568982.75418353,3319405.93180008,3862718.19601873
180,7.5,"B","transition",2700000,660000,2040000,585813.447046392,297616.977413694,870319.58133472,2110816.51335223,1767824.77408429,2453518.06311931
180,7.5,"C","transition",3200000,710000,2490000,697108.686227944,559684.524756593,825347.126493121,2495911.88582136,2181218.50380292,2810617.32656249
180,7.5,"D","transition",2500000,670000,1830000,660367.672476942,539494.91793442,774504.412772412,1831169.29637281,1530423.27098133,2132301.67158159
192,8,"A","transition",3300000,570000,2730000,487356.684203825,265769.215003098,741434.795908127,2812460.4072922,2545578.41477893,3039148.52082571
192,8,"B","transition",3400000,6e+05,2800000,537715.23857475,254251.504021703,821094.85487414,2859972.0617515,2517129.93467864,3195123.85411866
192,8,"C","transition",3400000,630000,2770000,616169.961791599,477454.63308615,747782.66024029,2778714.86874312,2460028.00576093,3095107.98238417
192,8,"D","transition",3e+06,670000,2330000,659793.896456629,535221.037800417,774394.185638603,2334354.39278527,2028061.90735453,2638782.25368267
204,8.5,"A","transition",2200000,820000,1380000,719441.778229045,489149.54135678,974998.526039375,1479923.40423513,1215543.78491779,1719189.6061844
204,8.5,"B","transition",3e+06,790000,2210000,717219.400612106,420608.076593985,1002963.50305193,2280026.2995649,1936119.38938868,2631454.18179579
204,8.5,"C","transition",3e+06,990000,2010000,977154.479406243,840195.761796963,1106056.78530697,2013784.1142064,1698658.37078371,2332835.23280209
204,8.5,"D","transition",2300000,810000,1490000,801190.879324539,676853.959217288,918586.531674296,1488126.48348445,1182532.59810357,1796468.4651614
216,9,"A","transition",1390000,730000,660000,605665.244289517,314988.663749682,900480.431089879,783417.118340054,475273.205211761,1077682.1509261
216,9,"B","transition",1240000,780000,460000,739419.819136785,427763.384963341,1061411.03873084,481310.582323152,54088.2804935492,857287.439995147
216,9,"C","transition",1080000,730000,350000,729805.832752846,590364.088460156,866261.660814516,272681.502914302,93.5622029570581,622851.605777481
216,9,"D","transition",1630000,830000,8e+05,821983.925442617,700363.178029936,938876.708178626,785482.823425286,477525.151926091,1093140.09729459
240,10,"A","equilibrium",940000,670000,270000,756639.555315311,591503.422253143,894824.564626163,188129.041304315,50909.1939459354,359588.663486371
240,10,"B","equilibrium",950000,7e+05,250000,744210.731638381,556566.52775251,922045.350664493,239976.106439077,73503.4965521408,454236.696847272
240,10,"C","equilibrium",730000,610000,120000,617792.109280665,508001.247940062,735022.411999807,179219.262459061,30590.386456454,398215.378433597
240,10,"D","equilibrium",9e+05,730000,170000,743109.437760054,642937.174367774,851761.601321953,192870.038225362,37268.1290092191,414740.755913945
264,11,"A","equilibrium",1010000,860000,150000,834213.302070522,684554.46868684,971486.594285423,182647.124257892,53087.2182471061,333251.73308215
264,11,"B","equilibrium",970000,790000,180000,788645.659218039,600569.058239244,972332.617402012,226197.309864482,69498.2419397164,437061.305933245
264,11,"C","equilibrium",1050000,730000,320000,741631.94339616,624949.915018338,863304.888098254,282100.99054327,70769.3526553916,542566.282420992
264,11,"D","equilibrium",1020000,790000,230000,800895.73945518,699091.639991277,909021.139634107,225157.421639757,45825.1040910719,469945.965241472
288,12,"A","equilibrium",1070000,830000,240000,854102.569104333,694101.922001879,1003754.48383199,219267.002020907,72274.8568125321,386038.694068878
288,12,"B","equilibrium",1140000,8e+05,340000,851193.564492505,647751.933750185,1047706.77234331,300830.117001268,105676.745754662,537851.786404756
288,12,"C","equilibrium",1e+06,790000,210000,788051.965213181,668037.658519183,905672.391696407,226492.054812052,45838.1926352194,465043.890548403
288,12,"D","equilibrium",1180000,890000,290000,895754.474775145,789707.293024193,1008120.41551893,261891.450386698,62033.9349393886,512409.07901847
300,12.5,"A","equilibrium",1500000,1190000,310000,1153977.57822737,943947.530667546,1347816.94861215,344762.113661304,144288.54368451,561970.048998905
300,12.5,"B","equilibrium",1420000,1260000,160000,1179764.51197609,960001.662293519,1380919.95323934,267155.852327089,82079.8514849568,510245.832857679
300,12.5,"C","equilibrium",1250000,1110000,140000,1084225.07735998,955237.141166268,1198918.75847468,201597.672179728,39272.3455982465,430322.713625677
300,12.5,"D","equilibrium",1160000,1010000,150000,997963.73126782,885608.696004833,1102219.39487046,196072.86065144,36627.6793129209,420127.748972246
312,13,"A","equilibrium",1070000,860000,210000,851686.643446503,688628.447827994,1013672.76151787,222560.08782016,65532.022303769,386248.984594069
312,13,"B","equilibrium",1010000,1030000,-20000,900721.739661408,712776.705390376,1085688.34758396,185346.035858052,52451.1852369829,377008.410962445
312,13,"C","equilibrium",780000,1010000,-230000,946326.560747188,802243.63735454,1055984.58779601,99631.1353692612,14192.0475092541,249715.337400472
312,13,"D","equilibrium",930000,870000,60000,860561.714964896,753189.685199081,962432.833908239,158582.03902895,26842.5600059871,362491.216174296
324,13.5,"A","equilibrium",1660000,1280000,380000,1266120.83910229,1064419.27961729,1476459.10464749,391018.065314195,176040.373993525,602518.110308368
324,13.5,"B","equilibrium",1810000,980000,830000,1087949.62795684,844357.697674272,1347244.04786432,680143.799174325,384402.532448982,976756.089244714
324,13.5,"C","equilibrium",820000,980000,-160000,925107.811311812,784259.104779293,1035268.72312721,113212.695013686,16520.7359058802,279280.188141772
324,13.5,"D","equilibrium",1100000,970000,130000,958737.058265141,847259.998048884,1063645.04643078,188419.000996581,35516.0972611992,409906.909471321
336,14,"A","equilibrium",1410000,1150000,260000,1115341.47232979,940379.793888665,1304389.12075139,294919.995054482,106440.723750014,477554.418775548
336,14,"B","equilibrium",1380000,1200000,180000,1132885.06346406,918032.552912083,1333713.44809562,271337.438870621,85012.7117127867,504582.154035092
336,14,"C","equilibrium",860000,640000,220000,654299.403348026,542199.202022477,773103.367146655,220422.194116674,42245.9126173776,461127.37308948
336,14,"D","equilibrium",970000,8e+05,170000,806545.772505753,703273.817759364,912485.485154626,196399.026271072,37798.8927258799,420175.304373566
348,14.5,"A","equilibrium",1360000,1160000,2e+05,1112281.0243576,933780.538883715,1289268.27953771,249500.905183286,73000.2031858296,433643.82232821
348,14.5,"B","equilibrium",1410000,860000,550000,956710.968257526,736898.891689809,1186581.90378556,434000.22974167,184506.018178294,698581.38703476
348,14.5,"C","equilibrium",740000,530000,210000,556040.803518151,451160.615085446,676122.034113888,209886.707323618,42107.9095567185,445547.025868692
348,14.5,"D","equilibrium",1250000,890000,360000,898326.720374054,790211.6552836,1011751.29759905,306642.866323395,84186.5191354234,573706.094295268
360,15,"A","equilibrium",1380000,1040000,340000,1045113.25573663,864633.092864451,1230202.33589667,334008.903350815,143382.282384766,523547.230130651
360,15,"B","equilibrium",1100000,950000,150000,904616.850419869,700671.674839784,1093168.86656561,235813.584957608,71467.237645844,455253.735487765
360,15,"C","equilibrium",1020000,840000,180000,831738.316492089,710748.965136719,945987.289092117,213317.842301204,41896.5217760092,454530.844479154
360,15,"D","equilibrium",910000,750000,160000,759500.712860141,658565.089555655,867142.393438556,191623.547827345,35310.1486625041,413452.744160268
372,15.5,"A","equilibrium",1430000,1250000,180000,1153619.50440953,975607.862579701,1338172.22426378,278289.726106514,93998.8186815077,459756.061276383
372,15.5,"B","equilibrium",1410000,1270000,140000,1182745.12491487,970921.084724325,1374748.81731351,256231.300755735,80444.8334004292,483531.298005324
372,15.5,"C","equilibrium",1e+06,7e+05,3e+05,712513.630913972,596598.069273704,834041.584064499,268756.034916891,64125.8022444274,525036.475025823
372,15.5,"D","equilibrium",990000,1020000,-30000,991914.806193856,878737.720828188,1089778.90755098,135009.267385447,21658.8062637557,316641.577799207
384,16,"A","equilibrium",1580000,1310000,270000,1270438.08968795,1064351.71122403,1443844.58039472,308699.814689432,131654.807172981,521005.476371309
384,16,"B","equilibrium",1740000,1200000,540000,1237014.92348019,993391.80509509,1475362.78562835,477276.031699075,211830.856799731,763046.585086816
384,16,"C","equilibrium",920000,8e+05,120000,789551.733384489,668876.116484665,904214.708134503,188981.895039319,34596.4536733644,411706.267984495
384,16,"D","equilibrium",760000,910000,-150000,876486.315572809,756909.775112862,975866.326499031,108014.665116,15142.0232589664,271654.796756095
396,16.5,"A","equilibrium",1560000,1090000,470000,1094574.50384078,876986.157936558,1307463.49686915,461844.650901418,240063.058415455,683923.993688316
396,16.5,"B","equilibrium",1360000,1360000,0,1204704.4975736,1001190.81932138,1398745.52288776,210795.40739724,61119.7089900543,419942.66948398
396,16.5,"C","equilibrium",840000,750000,90000,740324.649504448,621384.886045605,852882.25941093,174707.760127195,30349.077470532,388618.533547183
396,16.5,"D","equilibrium",970000,970000,0,947538.249362828,832698.12836445,1047393.89204906,142329.842724416,22792.0857605256,332928.50143978
408,17,"A","equilibrium",1740000,1050000,690000,1106288.97346728,898548.30894605,1322916.02961479,628224.648545733,400566.3904979,844002.610447275
408,17,"B","equilibrium",1390000,1310000,80000,1190948.00561889,975848.027597211,1385700.22729319,239145.81377235,69988.2698246721,469380.458475468
408,17,"C","equilibrium",910000,690000,220000,697482.302164485,581110.644244218,818873.728279542,226894.998416278,47116.4464974993,465954.963575968
408,17,"D","equilibrium",760000,660000,1e+05,675101.764246275,575924.070246451,782810.607777388,164163.749638109,27572.2423696751,371310.466359419
420,17.5,"A","equilibrium",1430000,990000,440000,1013512.54580156,836687.131876883,1207741.33742416,413681.615729375,211042.631040427,597989.267667335
420,17.5,"B","equilibrium",1770000,1e+06,770000,1097092.50958649,853049.99334597,1346830.46656997,634533.799997525,347759.895203723,932499.731192649
420,17.5,"C","equilibrium",820000,1010000,-190000,950610.192433589,810199.522179236,1059918.7640062,107124.541322814,15541.3622614843,262264.438410964
420,17.5,"D","equilibrium",880000,650000,230000,677223.534501915,580735.712617921,789048.151229113,216003.793037994,44111.3617175361,455124.949085961
432,18,"A","equilibrium",1790000,1110000,680000,1145251.68672461,941609.013923257,1376267.4893147,638950.029776768,397032.41010364,852443.7955544
432,18,"B","equilibrium",2e+06,1140000,860000,1226101.87558248,974807.157976282,1489773.16406695,729395.46574173,425952.673620218,1035086.74905605
432,18,"C","equilibrium",560000,4e+05,160000,443396.709875307,344267.218298985,563322.34019905,179400.31786612,31394.027684605,399406.175254939
432,18,"D","equilibrium",1100000,1010000,90000,993551.679775929,879162.139531771,1096158.6894234,172186.65680403,31250.3648451395,381950.231080865
456,19,"A","equilibrium",2310000,1250000,1060000,1314588.91942104,1093986.03644067,1517875.45045717,987945.706657213,770496.541443045,1216653.51147883
456,19,"B","equilibrium",1850000,1070000,780000,1161213.98540325,912469.265214012,1421136.33451653,646741.701356244,346769.461689042,950780.337024923
456,19,"C","equilibrium",840000,640000,2e+05,651982.801603889,539504.064422229,772355.756868167,211652.972383511,41998.5329255827,444474.298174365
456,19,"D","equilibrium",770000,1050000,-280000,992548.642730103,861636.971730119,1093019.2752335,89172.0980024901,12477.9590192943,230850.187737979
480,20,"A","equilibrium",2310000,1250000,1060000,1304969.06481568,1067918.53351005,1524497.19098935,997490.796751465,762205.524598068,1243874.64571604
480,20,"B","equilibrium",1850000,1070000,780000,1158830.33457549,906263.139097083,1415210.00439525,651375.278015326,351573.342353411,953689.162182238
480,20,"C","equilibrium",840000,640000,2e+05,650372.841134815,538672.929589614,766419.356992432,214443.546645062,41740.6048614566,444080.749312387
480,20,"D","equilibrium",770000,1050000,-280000,991374.918849804,859034.772758192,1093021.80852463,90184.3753881513,12944.6711925283,232013.752706324
504,21,"A","equilibrium",2e+06,1480000,520000,1433581.34600122,1226455.3555952,1659141.6399394,561258.727797803,323942.686832698,774614.208375974
504,21,"B","equilibrium",2060000,1450000,610000,1461187.37649342,1202170.40682256,1718018.71844409,566141.283943771,275569.283557834,873794.529443866
504,21,"C","equilibrium",1220000,870000,350000,872669.061596955,748456.494359826,996857.944407331,309073.906390047,82190.9751032696,578784.308795486
504,21,"D","equilibrium",8e+05,910000,-110000,881075.439092628,767605.243357648,981764.035518184,115249.015118452,17335.4805799925,281191.522199025
528,22,"A","equilibrium",2110000,870000,1240000,1010603.54448481,810069.932007041,1215697.26127371,1091569.11641854,874339.161770239,1304501.00970785
528,22,"B","equilibrium",1860000,980000,880000,1093733.47628458,842579.227011606,1357863.72631142,721705.887676634,418746.837167714,1027740.71819815
528,22,"C","equilibrium",910000,670000,240000,681886.42701524,570333.858990349,802873.778121161,232965.193938091,49720.4734262327,478980.514867086
528,22,"D","equilibrium",1140000,790000,350000,808020.309341452,705727.689591681,921628.070738173,291157.939944428,76150.5601905071,542597.35558882
552,23,"A","equilibrium",1520000,980000,540000,1046964.34609516,850369.885130602,1258097.5040753,468704.457740777,253028.482530497,673881.300702901
552,23,"B","equilibrium",1420000,1080000,340000,1083477.66634477,861714.408818502,1291266.93083479,337335.493346151,124423.667850014,592948.763123094
552,23,"C","equilibrium",880000,790000,90000,776927.947061684,657460.596257549,889958.952623304,174628.175482482,30116.3519806964,391317.273058082
552,23,"D","equilibrium",880000,850000,30000,839420.034094732,731031.859955853,942019.104829148,147642.877895774,24571.3016062955,338955.346782323
600,25,"A","equilibrium",1620000,1090000,530000,1159065.16285815,942352.980771969,1417023.55737765,456439.751844413,199666.591881868,683275.04898868
600,25,"B","equilibrium",1730000,990000,740000,1087377.61080708,842183.136184158,1342902.91388577,605593.168450778,315794.984779943,900648.372650411
600,25,"C","equilibrium",1030000,770000,260000,773442.045649971,654748.030731555,893449.909082496,249420.985872702,54574.3162000984,504215.023902663
600,25,"D","equilibrium",1170000,840000,330000,851331.518690869,746231.947247386,962419.118072604,285190.64589985,72396.2253166075,542278.956035716
624,26,"A","equilibrium",1950000,1260000,690000,1279289.8522024,1069843.14680954,1490861.16808308,664369.086886251,442969.472482555,884517.01415837
624,26,"B","equilibrium",1830000,1020000,810000,1116116.72982108,871236.779435274,1365994.8403786,672079.888817918,373859.158751097,972893.398762525
624,26,"C","equilibrium",1010000,670000,340000,686993.748940947,573972.746267488,811367.007287525,292667.457728468,72911.0153910438,566875.761934134
624,26,"D","equilibrium",850000,1120000,-270000,1058874.02811935,926093.845521294,1159425.03976662,90780.9073229247,13590.2011627155,231098.120766342
648,27,"A","equilibrium",1860000,1260000,6e+05,1282748.25511973,1056922.24898459,1491226.29917271,571696.495472548,353627.604557355,807581.423423711
648,27,"B","equilibrium",1950000,1240000,710000,1291589.20206135,1037823.72316217,1542917.41699648,620914.508194584,331899.552469182,924215.115533995
648,27,"C","equilibrium",820000,940000,-120000,894111.837994408,760178.445494617,1005598.71231493,120619.042656605,17950.7560146623,294881.311771245
648,27,"D","equilibrium",9e+05,1e+06,-1e+05,965543.83384318,844579.737636397,1065460.64792335,120779.006336485,17793.4949470034,295158.949468902
672,28,"A","equilibrium",2190000,1430000,760000,1417983.08866788,1213819.52918454,1649312.91093653,765624.404695177,522006.429541343,980305.145421771
672,28,"B","equilibrium",1590000,890000,7e+05,1000641.07674024,761151.448367273,1249277.03360293,557072.304084706,272568.914142372,848561.525372898
672,28,"C","equilibrium",9e+05,830000,70000,812226.720892243,690198.004302552,925641.762086222,168777.803188902,29599.3639852251,376712.139358711
672,28,"D","equilibrium",1110000,720000,390000,747147.560433107,645598.837983244,867677.274182805,313858.109852376,87635.870680679,579354.708934306
696,29,"A","equilibrium",1520000,1030000,490000,1095560.22302134,882238.555667168,1309699.33375731,420710.599914005,207239.297995341,638980.136515616
696,29,"B","equilibrium",1600000,1320000,280000,1276749.06702498,1052766.31573074,1486468.74217888,327295.34835182,114471.726354127,575592.091136682
696,29,"C","equilibrium",1020000,730000,290000,738394.218944602,623704.169290736,859000.663334864,266751.033956594,62891.7420021567,523910.439416416
696,29,"D","equilibrium",1050000,960000,90000,946882.526083351,837810.02836888,1051183.64968096,170624.850873178,28840.5476417477,382909.535611236
744,31,"A","equilibrium",1930000,1270000,660000,1274969.3576467,1076608.90564356,1502710.31390695,648752.000648244,408463.194929215,857173.806171425
744,31,"B","equilibrium",1610000,1250000,360000,1238643.12240152,1006710.48298879,1458332.58191137,364903.65635414,136645.826500565,631785.495245578
744,31,"C","equilibrium",8e+05,660000,140000,663824.878081303,550899.209380714,780630.136954874,190018.177190098,34823.3269990038,412472.548284912
744,31,"D","equilibrium",1050000,830000,220000,836380.119358518,730891.714029537,944183.937213506,222292.288555807,46666.8474932248,463121.166774352
792,33,"A","equilibrium",1500000,1280000,220000,1223090.5405835,1023756.83716647,1387180.46261511,277328.330105204,110384.511719947,482996.677501365
782,32.5833333333333,"B","equilibrium",1650000,1250000,4e+05,1249561.24279299,1018509.32643727,1472057.81296855,389347.446498029,153289.137669208,657837.980532373
792,33,"C","equilibrium",940000,550000,390000,583153.493568423,475717.216482037,712128.743093993,314574.764860423,85951.808765625,583804.766712612
792,33,"D","equilibrium",1050000,930000,120000,921595.563553597,809779.896573135,1025067.76226571,180045.486496781,33240.7750032025,395374.571449153
840,35,"A","equilibrium",1820000,1420000,4e+05,1391785.16817211,1171514.84692046,1598441.37819176,424689.863519504,209689.147204882,653692.606357144
840,35,"B","equilibrium",1570000,1300000,270000,1254823.31687314,1021130.92743923,1463982.82918536,321035.008179298,110669.389269837,585227.728150218
840,35,"C","equilibrium",730000,480000,250000,516044.409769115,410200.307892854,641282.834611883,226139.426433059,47325.8925021874,471275.312662841
840,35,"D","equilibrium",1060000,9e+05,160000,896303.265794261,788797.441801049,1001782.49019437,198417.127554195,38069.2464171339,429891.447947388
888,37,"A","equilibrium",1910000,1480000,430000,1438282.2643228,1226037.19218821,1657657.15068909,467480.083113655,237844.62934033,688860.236678206
888,37,"B","equilibrium",1340000,1600000,-260000,1292636.12053984,1090300.33464832,1502864.10341355,157032.528760601,40926.9821038421,330781.105746667
888,37,"C","equilibrium",680000,740000,-60000,715210.934197084,594202.843101667,824309.591240404,129930.143377328,20975.1480298775,314217.426237113
888,37,"D","equilibrium",820000,870000,-50000,850597.178411841,739417.073228639,951106.673840783,127734.115072688,20040.8939674595,304177.739320195
936,39,"A","equilibrium",1610000,1480000,130000,1331068.64922052,1138839.84255826,1527186.06107324,281187.163491113,85260.3494680582,476158.642625087
936,39,"B","equilibrium",1920000,1360000,560000,1379074.77238803,1127999.89370591,1620499.58480775,512100.446019139,235666.822017468,807072.044182136
936,39,"C","equilibrium",570000,730000,-160000,693956.915653975,567437.728403373,800344.940926521,108728.982237888,16531.9972884917,272980.56289842
936,39,"D","equilibrium",930000,1100000,-170000,1052277.95434749,925201.639177729,1151241.27475623,106242.384179641,15630.6316683067,264958.513985379
984,41,"A","equilibrium",1610000,1260000,350000,1241714.48221322,1035058.80830351,1429063.39665795,365698.92361408,170354.385163088,579501.500101935
984,41,"B","equilibrium",1340000,1120000,220000,1079968.94820789,865538.818945803,1281509.78137322,279406.872912469,90095.4430302539,518288.610876697
984,41,"C","equilibrium",860000,1010000,-150000,956189.306013437,819378.505807042,1065249.47488055,113233.139467525,16710.7183212208,281059.482039546
984,41,"D","equilibrium",1210000,1070000,140000,1052896.62745895,935013.422289154,1155974.91310533,194655.837583589,36764.2489179036,419746.169883329
1032,43,"A","equilibrium",1820000,1280000,540000,1242636.95463106,1014280.99804007,1483898.11000296,572426.708224778,321835.329063061,806007.231389362
1032,43,"B","equilibrium",1380000,1580000,-2e+05,1305966.70464382,1105055.65492387,1508531.15897457,169677.567761585,45496.7551219201,351136.250116537
1032,43,"C","equilibrium",710000,960000,-250000,894718.374030425,749891.573874817,1007365.78932479,97293.0418143986,14045.0117020649,250023.998990585
