"time.h","time","rep","phase","total","spore_obs","veg_naive","spore_est","spore_lo","spore_hi","veg_est","veg_lo","veg_hi"
0,0,"A","transition",2.2e+08,4000,219996000,124708.833812471,14559.5790468573,365868.296730791,219875398.845119,219628386.227731,220010475.075462
0,0,"B","transition",2.8e+08,9000,279991000,139577.829733469,18515.2112659537,339041.556854529,279859498.538032,279590610.432346,280099871.70226
0,0,"C","transition",3e+08,5000,299995000,62269.458009036,6481.208117977,165036.647358764,299938275.70145,299638594.045577,300243956.071681
0,0,"D","transition",4.4e+08,1000,439999000,60233.7420048157,7585.20147746545,154190.06171479,439940266.912065,439642582.829925,440240297.246005
12,0.5,"A","transition",2e+08,15000,199985000,125505.868925083,15341.5816322289,368265.588641294,199874885.374154,199626980.42552,200009889.11185
12,0.5,"B","transition",2.1e+08,23000,209977000,140229.486616265,17774.6631875795,337915.422767759,209859559.604018,209590722.403938,210106496.65741
12,0.5,"C","transition",1.7e+08,6000,169994000,63046.2152777533,6496.4524513919,167783.253583631,169936193.74322,169640080.080892,170231569.578023
12,0.5,"D","transition",2e+08,6000,199994000,62044.9527531557,7861.84686842307,158981.191418361,199938416.928877,199643154.309173,200234172.038877
24,1,"A","transition",1e+08,13000,99987000,110572.683118468,15245.8829247334,282301.941515435,99889714.0136894,99700518.4700367,100012650.475849
24,1,"B","transition",9e+07,23000,89977000,139453.014324758,17670.0455532085,341675.843676637,89860120.7846896,89591278.3183273,90098865.7460207
24,1,"C","transition",6e+07,8000,59992000,63544.2100568376,7072.2553924944,172520.02136191,59935636.664903,59639508.0875292,60230064.3639886
24,1,"D","transition",1.1e+08,4000,109996000,61388.8549360225,7860.6278090019,157031.713482865,109938416.695626,109647494.39002,110231491.689408
36,1.5,"A","transition",2.6e+07,16000,25984000,130744.658530103,15276.7266164362,322940.580986709,25869344.694956,25672039.3877841,26009992.5544543
36,1.5,"B","transition",2.3e+07,14000,22986000,137962.659970472,17025.6946925129,339853.887169795,22860900.853555,22589971.8626669,23104569.7020282
36,1.5,"C","transition",2.8e+07,11000,27989000,64843.5286030734,6993.09211301724,170314.910230998,27935006.5707445,27635242.7832354,28232803.188704
36,1.5,"D","transition",2.4e+07,19000,23981000,68477.343814662,10125.8410500612,167393.858492343,23930862.7988004,23639549.830359,24225453.1663125
48,2,"A","transition",2.1e+07,84000,20916000,159994.043510033,23895.1515679079,352952.870430449,20839651.0954317,20638527.1189263,20995824.9403376
48,2,"B","transition",1.3e+07,80000,12920000,164506.468681218,21928.3231123985,385304.908639797,12836296.4688965,12551940.3902815,13094859.00637
48,2,"C","transition",2.3e+07,98000,22902000,113019.570017923,21524.2433106827,232994.249569552,22886075.9354434,22581412.7400484,23189022.1954859
48,2,"D","transition",2.1e+07,109000,20891000,122793.789963899,34350.0754649109,233174.744340493,20878231.3430584,20583300.6301448,21178374.6939398
60,2.5,"A","transition",1.9e+07,69000,18931000,154841.561131804,22957.5184808912,350615.307574156,18844882.6061072,18635713.6506684,18998017.4308103
60,2.5,"B","transition",2.2e+07,74000,21926000,160127.588184575,21842.9996117635,374435.831461549,21840130.0823539,21557056.5226409,22094472.2168512
60,2.5,"C","transition",2.5e+07,85000,24915000,103808.268055844,19749.5234441785,222286.350968399,24896574.9042037,24590331.6599017,25204066.2976377
60,2.5,"D","transition",1.7e+07,93000,16907000,110677.187751679,27887.3381201528,221198.327697981,16887448.6736294,16579741.0386351,17190491.6104252
