"plate","well","strain","OD","blank","clone","OD_corrected"
"plate1","A","M4",0.567,0.0645,"m4",0.5025
"plate1","A","M13",0.153,0.0645,"m13",0.0885
"plate1","A","M17",0.077,0.0645,"m17",0.0125
"plate1","A","M19",0.094,0.0645,"m19",0.0295
"plate1","A","M21",0.144,0.0645,"m21",0.0795
"plate1","A","M23",0.451,0.0645,"m23",0.3865
"plate1","A","M26",0.081,0.0645,"m26",0.0165
"plate1","A","M41",0.124,0.0645,"m41",0.0595
"plate1","A","M54",0.108,0.0645,"m54",0.0435
"plate1","A","M79",1.244,0.0645,"m79",1.1795
"plate1","A","Ancestor",0.171,0.0645,"ancestor",0.1065
"plate1","B","M4",1.503,0.0645,"m4",1.4385
"plate1","B","M13",0.186,0.0645,"m13",0.1215
"plate1","B","M17",0.1,0.0645,"m17",0.0355
"plate1","B","M19",0.08,0.0645,"m19",0.0155
"plate1","B","M21",0.165,0.0645,"m21",0.1005
"plate1","B","M23",0.465,0.0645,"m23",0.4005
"plate1","B","M26",0.081,0.0645,"m26",0.0165
"plate1","B","M41",0.113,0.0645,"m41",0.0485
"plate1","B","M54",0.089,0.0645,"m54",0.0245
"plate1","B","M79",1.079,0.0645,"m79",1.0145
"plate1","B","Ancestor",0.187,0.0645,"ancestor",0.1225
"plate1","C","M4",0.935,0.0645,"m4",0.8705
"plate1","C","M13",0.213,0.0645,"m13",0.1485
"plate1","C","M17",0.106,0.0645,"m17",0.0415
"plate1","C","M19",0.199,0.0645,"m19",0.1345
"plate1","C","M21",0.136,0.0645,"m21",0.0715
"plate1","C","M23",0.446,0.0645,"m23",0.3815
"plate1","C","M26",0.114,0.0645,"m26",0.0495
"plate1","C","M41",0.113,0.0645,"m41",0.0485
"plate1","C","M54",0.085,0.0645,"m54",0.0205
"plate1","C","M79",1.35,0.0645,"m79",1.2855
"plate1","C","Ancestor",0.152,0.0645,"ancestor",0.0875
"plate1","D","M4",1.643,0.0645,"m4",1.5785
"plate1","D","M13",0.241,0.0645,"m13",0.1765
"plate1","D","M17",0.097,0.0645,"m17",0.0325
"plate1","D","M19",0.079,0.0645,"m19",0.0145
"plate1","D","M21",0.128,0.0645,"m21",0.0635
"plate1","D","M23",0.27,0.0645,"m23",0.2055
"plate1","D","M26",0.078,0.0645,"m26",0.0135
"plate1","D","M41",0.142,0.0645,"m41",0.0775
"plate1","D","M54",0.088,0.0645,"m54",0.0235
"plate1","D","M79",1.265,0.0645,"m79",1.2005
"plate1","D","Ancestor",0.176,0.0645,"ancestor",0.1115
"plate1","E","M4",0.561,0.0645,"m4",0.4965
"plate1","E","M13",0.201,0.0645,"m13",0.1365
"plate1","E","M17",0.094,0.0645,"m17",0.0295
"plate1","E","M19",0.075,0.0645,"m19",0.0105
"plate1","E","M21",0.164,0.0645,"m21",0.0995
"plate1","E","M23",0.274,0.0645,"m23",0.2095
"plate1","E","M26",0.07,0.0645,"m26",0.0055
"plate1","E","M41",0.092,0.0645,"m41",0.0275
"plate1","E","M54",0.082,0.0645,"m54",0.0175
"plate1","E","M79",1.127,0.0645,"m79",1.0625
"plate1","E","Ancestor",0.158,0.0645,"ancestor",0.0935
"plate1","F","M4",0.89,0.0645,"m4",0.8255
"plate1","F","M13",0.194,0.0645,"m13",0.1295
"plate1","F","M17",0.087,0.0645,"m17",0.0225
"plate1","F","M19",0.142,0.0645,"m19",0.0775
"plate1","F","M21",0.094,0.0645,"m21",0.0295
"plate1","F","M23",0.328,0.0645,"m23",0.2635
"plate1","F","M26",0.081,0.0645,"m26",0.0165
"plate1","F","M41",0.101,0.0645,"m41",0.0365
"plate1","F","M54",0.083,0.0645,"m54",0.0185
"plate1","F","M79",1.226,0.0645,"m79",1.1615
"plate1","F","Ancestor",0.176,0.0645,"ancestor",0.1115
"plate1","G","M4",0.381,0.0645,"m4",0.3165
"plate1","G","M13",0.153,0.0645,"m13",0.0885
"plate1","G","M17",0.083,0.0645,"m17",0.0185
"plate1","G","M19",0.081,0.0645,"m19",0.0165
"plate1","G","M21",0.105,0.0645,"m21",0.0405
"plate1","G","M23",0.313,0.0645,"m23",0.2485
"plate1","G","M26",0.077,0.0645,"m26",0.0125
"plate1","G","M41",0.08,0.0645,"m41",0.0155
"plate1","G","M54",0.084,0.0645,"m54",0.0195
"plate1","G","M79",1.944,0.0645,"m79",1.8795
"plate1","G","Ancestor",0.132,0.0645,"ancestor",0.0675
"plate1","H","M4",1.039,0.0645,"m4",0.9745
"plate1","H","M13",0.18,0.0645,"m13",0.1155
"plate1","H","M17",0.066,0.0645,"m17",0.0015
"plate1","H","M19",0.076,0.0645,"m19",0.0115
"plate1","H","M21",0.153,0.0645,"m21",0.0885
"plate1","H","M23",0.142,0.0645,"m23",0.0775
"plate1","H","M26",0.072,0.0645,"m26",0.00749999999999999
"plate1","H","M41",0.152,0.0645,"m41",0.0875
"plate1","H","M54",0.079,0.0645,"m54",0.0145
"plate1","H","M79",1.708,0.0645,"m79",1.6435
"plate1","H","Ancestor",0.134,0.0645,"ancestor",0.0695
"plate2","A","S1",0.242,0.077,"s1",0.165
"plate2","A","S6",0.525,0.077,"s6",0.448
"plate2","A","S11",0.439,0.077,"s11",0.362
"plate2","A","S22",0.296,0.077,"s22",0.219
"plate2","A","S51",0.329,0.077,"s51",0.252
"plate2","A","S95",0.376,0.077,"s95",0.299
"plate2","B","S1",0.38,0.077,"s1",0.303
"plate2","B","S6",0.396,0.077,"s6",0.319
"plate2","B","S11",0.325,0.077,"s11",0.248
"plate2","B","S22",0.229,0.077,"s22",0.152
"plate2","B","S51",0.405,0.077,"s51",0.328
"plate2","B","S95",0.317,0.077,"s95",0.24
"plate2","C","S1",0.3,0.077,"s1",0.223
"plate2","C","S6",0.381,0.077,"s6",0.304
"plate2","C","S11",0.233,0.077,"s11",0.156
"plate2","C","S22",0.215,0.077,"s22",0.138
"plate2","C","S51",0.278,0.077,"s51",0.201
"plate2","C","S95",0.268,0.077,"s95",0.191
"plate2","D","S1",0.353,0.077,"s1",0.276
"plate2","D","S6",0.402,0.077,"s6",0.325
"plate2","D","S11",0.26,0.077,"s11",0.183
"plate2","D","S22",0.291,0.077,"s22",0.214
"plate2","D","S51",0.4,0.077,"s51",0.323
"plate2","D","S95",0.234,0.077,"s95",0.157
"plate2","E","S1",0.282,0.077,"s1",0.205
"plate2","E","S6",0.326,0.077,"s6",0.249
"plate2","E","S11",0.354,0.077,"s11",0.277
"plate2","E","S22",0.273,0.077,"s22",0.196
"plate2","E","S51",0.376,0.077,"s51",0.299
"plate2","E","S95",0.325,0.077,"s95",0.248
"plate2","F","S1",0.237,0.077,"s1",0.16
"plate2","F","S6",0.383,0.077,"s6",0.306
"plate2","F","S11",0.411,0.077,"s11",0.334
"plate2","F","S22",0.376,0.077,"s22",0.299
"plate2","F","S51",0.358,0.077,"s51",0.281
"plate2","F","S95",0.422,0.077,"s95",0.345
"plate2","G","S1",0.336,0.077,"s1",0.259
"plate2","G","S6",0.38,0.077,"s6",0.303
"plate2","G","S11",0.395,0.077,"s11",0.318
"plate2","G","S22",0.078,0.077,"s22",0.001
"plate2","G","S51",0.312,0.077,"s51",0.235
"plate2","G","S95",0.314,0.077,"s95",0.237
"plate2","H","S1",0.344,0.077,"s1",0.267
"plate2","H","S6",0.358,0.077,"s6",0.281
"plate2","H","S11",0.421,0.077,"s11",0.344
"plate2","H","S22",0.308,0.077,"s22",0.231
"plate2","H","S51",0.339,0.077,"s51",0.262
"plate2","H","S95",0.343,0.077,"s95",0.266
